pmid	year	journal	title
28533980	2017	PeerJ	Mitochondrial complex I deficiency leads to the retardation of early embryonic development in Ndufs4 knockout mice.
28529507	2017	Front Microbiol	A Novel and Efficient Method for Bacteria Genome Editing Employing both CRISPR/Cas9 and an Antibiotic Resistance Cassette.
28523919	2017	Acta Virol.	Editing plants for virus resistance using CRISPR-Cas.
28523558	2017	Adv. Exp. Med. Biol.	Epigenome Editing in the Brain.
28515773	2017	Plant Methods	Building a multipurpose insertional mutant library for forward and reverse genetics in Chlamydomonas.
28503441	2017	Int J Ophthalmol	Applications of CRISPR/Cas9 in retinal degenerative diseases.
28503202	2017	Epigenetics Chromatin	Stabilization of Foxp3 expression by CRISPR-dCas9-based epigenome editing in mouse primary T cells.
28496941	2017	Stand Genomic Sci	Chromosomal features of Escherichia coli serotype O2:K2, an avian pathogenic E. coli.
28493126	2017	Methods Mol. Biol.	Application of CRISPR/Cas9 Genome Editing to Improve Recombinant Protein Production in CHO Cells.
28487703	2017	Front Plant Sci	Heritable Genomic Fragment Deletions and Small Indels in the Putative ENGase Gene Induced by CRISPR/Cas9 in Barley.
28485684	2017	Exp. Biol. Med. (Maywood)	Circular RNA - New member of noncoding RNA with novel functions.
28484312	2017	Acta Myol	Genetic diagnosis as a tool for personalized treatment of Duchenne muscular dystrophy.
28473859	2017	Stem Cells Int	Myogenic Differentiation from MYOGENIN-Mutated Human iPS Cells by CRISPR/Cas9.
28469939	2017	Virus Evol	Viral coinfection is shaped by host ecology and virus-virus interactions across diverse microbial taxa and environments.
28465093	2017	Stem Cell Res	Generation, genome edition and characterization of iPSC lines from a patient with coenzyme Q10 deficiency harboring a heterozygous mutation in COQ4 gene.
28462029	2017	PeerJ	CRF: detection of CRISPR arrays using random forest.
28458663	2017	Front Microbiol	H-NS Mutation-Mediated CRISPR-Cas Activation Inhibits Phage Release and Toxin Production of Escherichia coli Stx2 Phage Lysogen.
28456969	2017	Methods Mol. Biol.	CRISPR/Cas9-Mediated Gene Targeting during Embryogenesis in Swine.
28456968	2017	Methods Mol. Biol.	Generating Mouse Models Using Zygote Electroporation of Nucleases (ZEN) Technology with High Efficiency and Throughput.
28451378	2017	Cell Biosci	Plant genome editing with TALEN and CRISPR.
28448636	2017	PLoS ONE	Successful vitrification of pronuclear-stage pig embryos with a novel cryoprotective agent, carboxylated ε-poly-L-lysine.
28446922	2017	Front Plant Sci	Corrigendum: Building a Genetic Manipulation Tool Box for Orchid Biology: Identification of Constitutive Promoters and Application of CRISPR/Cas9 in the Orchid, Dendrobium officinale.
28445541	2017	PLoS ONE	IQGAP1 is an oncogenic target in canine melanoma.
28443132	2017	Front Genet	Disease Resistance and the Definition of Genetic Enhancement.
28443125	2017	Front Plant Sci	Viral Vectors for Plant Genome Engineering.
28441427	2017	PLoS ONE	Programmable type III-A CRISPR-Cas DNA targeting modules.
28439853	2017	Methods Mol. Biol.	CRISPR/Cas-Mediated In Planta Gene Targeting.
28439828	2017	Methods Mol. Biol.	Interrogation of Functional miRNA-Target Interactions by CRISPR/Cas9 Genome Engineering.
28428833	2017	Stand Genomic Sci	Complete genome sequence of Kosakonia oryzae type strain Ola 51(T).
28426791	2017	PLoS ONE	Correction: CCTop: An Intuitive, Flexible and Reliable CRISPR/Cas9 Target Prediction Tool.
28424578	2017	Front Neurosci	The CRB1 Complex: Following the Trail of Crumbs to a Feasible Gene Therapy Strategy.
28413007	2017	Stem Cell Res	A homozygous Keap1-knockout human embryonic stem cell line generated using CRISPR/Cas9 mediates gene targeting.
28413005	2017	Stem Cell Res	Generation of a Nrf2 homozygous knockout human embryonic stem cell line using CRISPR/Cas9.
28409342	2017	Results Probl Cell Differ	Zebrafish as a Model of Kidney Disease.
28408882	2017	Front Pharmacol	Targeted Nanotechnology in Glioblastoma Multiforme.
28396675	2017	Front Plant Sci	Inactivation of the β(1,2)-xylosyltransferase and the α(1,3)-fucosyltransferase genes in Nicotiana tabacum BY-2 Cells by a Multiplex CRISPR/Cas9 Strategy Results in Glycoproteins without Plant-Specific Glycans.
28395809	2017	Stem Cell Res	Creating a patient carried Men1 gene point mutation on wild type iPSCs locus mediated by CRISPR/Cas9 and ssODN.
28394899	2017	PLoS ONE	Genomic analyses of the ancestral Manila family of Mycobacterium tuberculosis.
28392985	2017	PeerJ	Conserved DNA motifs in the type II-A CRISPR leader region.
28392798	2017	Front Plant Sci	The Search for Resistance to Cassava Mosaic Geminiviruses: How Much We Have Accomplished, and What Lies Ahead.
28388673	2017	PLoS ONE	Proteolysis of mature HIV-1 p6 Gag protein by the insulin-degrading enzyme (IDE) regulates virus replication in an Env-dependent manner.
28386364	2017	Am J Transl Res	Nestin servers as a promising prognostic biomarker in non-small cell lung cancer.
28386301	2017	Plant Biotechnol Rep	New traits in crops produced by genome editing techniques based on deletions.
28386247	2017	Front Microbiol	GAMOLA2, a Comprehensive Software Package for the Annotation and Curation of Draft and Complete Microbial Genomes.
28384323	2017	PLoS ONE	Correction: RNA and DNA Targeting by a Reconstituted Thermus thermophilus Type III-A CRISPR-Cas System.
28382278	2017	Front Cell Infect Microbiol	Removal of Integrated Hepatitis B Virus DNA Using CRISPR-Cas9.
28377748	2017	Front Microbiol	Evidence for Contemporary Switching of the O-Antigen Gene Cluster between Shiga Toxin-Producing Escherichia coli Strains Colonizing Cattle.
28364236	2017	Methods Mol. Biol.	Using Morpholinos to Probe Gene Networks in Sea Urchin.
28364234	2017	Methods Mol. Biol.	Blocking Zebrafish MicroRNAs with Morpholinos.
28363331	2017	Drug Resist. Updat.	Sensitizing pathogens to antibiotics using the CRISPR-Cas system.
28356547	2017	Keio J Med	Mechanisms of iPS cell generation and beyond.
28353269	2017	Methods Mol. Biol.	Genome Editing in Human Pluripotent Stem Cells.
28352215	2017	Front Mol Neurosci	Myosin IIA-related Actomyosin Contractility Mediates Oxidative Stress-induced Neuronal Apoptosis.
28344889	2017	Oncoimmunology	Loss of tapasin in human lung and colon cancer cells and escape from tumor-associated antigen-specific CTL recognition.
28337265	2017	Am J Transl Res	Pulmonary surfactant synthesis in miRNA-26a-1/miRNA-26a-2 double knockout mice generated using the CRISPR/Cas9 system.
28326304	2017	Front Public Health	HIV Diagnosis and Treatment through Advanced Technologies.
28326091	2017	Front Plant Sci	Generation of High-Amylose Rice through CRISPR/Cas9-Mediated Targeted Mutagenesis of Starch Branching Enzymes.
28325301	2017	Mol Ther Nucleic Acids	Increased Expression of Laminin Subunit Alpha 1 Chain by dCas9-VP160.
28325300	2017	Mol Ther Nucleic Acids	One-Step Biallelic and Scarless Correction of a β-Thalassemia Mutation in Patient-Specific iPSCs without Drug Selection.
28325215	2017	Int Rev Cell Mol Biol	New Insights Into Cellular Stress Responses to Environmental Metal Toxicants.
28324494	2017	Methods Mol. Biol.	Analysis of Average Telomere Length in Human Telomeric Protein Knockout Cells Generated by CRISPR/Cas9.
28321286	2017	Mol Autism	CRISPR/Cas9-mediated heterozygous knockout of the autism gene CHD8 and characterization of its transcriptional networks in cerebral organoids derived from iPS cells.
28316978	2017	Biomed Res Int	Identification of Significant Pathways Induced by PAX5 Haploinsufficiency Based on Protein-Protein Interaction Networks and Cluster Analysis in Raji Cell Line.
28301575	2017	PLoS ONE	Generation of murine tumor cell lines deficient in MHC molecule surface expression using the CRISPR/Cas9 system.
28293232	2017	Front Microbiol	Commentary: Type I CRISPR-Cas targets endogenous genes and regulates virulence to evade mammalian host immunity.
28293040	2017	Colomb. Med.	Gene editing using CRISPR-Cas9 for the treatment of lung cancer.
28275380	2017	Front Plant Sci	Genetic Transformation and Genomic Resources for Next-Generation Precise Genome Engineering in Vegetable Crops.
28261237	2017	Front Plant Sci	Progress in Genome Editing Technology and Its Application in Plants.
28250269	2017	Biol. Pharm. Bull.	Inhibition of CRISPR/Cas9-Mediated Genome Engineering by a Type I Interferon-Induced Reduction in Guide RNA Expression.
