pmid	author	order
28003598	Jia-Lu_Yu	1
28003598	Qi-Fang_Song	2
28003598	Zhi-Wei_Xie	3
28003598	Wen-Hui_Jiang	4
28003598	Jia-Hui_Chen	5
28003598	Hui-Feng_Fan	6
28003598	Ya-Ping_Xie	7
28003598	Gen_Lu	8
28000890	Wenpeng_Zhang	1
28000890	Shiliang_Han	2
28000890	Kang_Sun	3
28000864	Na_Dong	1
28000864	Xueqing_Zhang	2
28000864	Qingjun_Liu	3
28000438	Benjamin_Nota	1
27964719	Suzanne_Paley	1
27964719	Paul_E_O'Maille	2
27964719	Daniel_Weaver	3
27964719	Peter_D_Karp	4
27959423	Mingming_Jiang	1
27959423	Qingfang_Zeng	2
27959423	Suiping_Dai	3
27959423	Huixia_Liang	4
27959423	Fengying_Dai	5
27959423	Xueling_Xie	6
27959423	Kunlin_Lu	7
27959423	Chunfang_Gao	8
27956081	Chengxue_Wang	1
27956081	Baochang_Qi	2
27956081	Lei_Tan	3
27956081	Jieping_Cheng	4
27942860	Weiwei_Liang	1
27942860	Zhiwei_Xie	2
27942860	Weiling_Cui	3
27942860	Yan_Guo	4
27942860	Lijuan_Xu	5
27942860	Jueheng_Wu	6
27942860	Hongyu_Guan	7
27924018	Janet_Piñero	1
27924018	NA_Bravo	2
27924018	Núria_Queralt-Rosinach	3
27924018	Alba_Gutiérrez-Sacristán	4
27924018	Jordi_Deu-Pons	5
27924018	Emilio_Centeno	6
27924018	Javier_García-García	7
27924018	Ferran_Sanz	8
27924018	Laura_I_Furlong	9
27924014	Damian_Szklarczyk	1
27924014	John_H_Morris	2
27924014	Helen_Cook	3
27924014	Michael_Kuhn	4
27924014	Stefan_Wyder	5
27924014	Milan_Simonovic	6
27924014	Alberto_Santos	7
27924014	Nadezhda_T_Doncheva	8
27924014	Alexander_Roth	9
27924014	Peer_Bork	10
27924014	Lars_J_Jensen	11
27924014	Christian_von_Mering	12
27922680	Haiyan_Shen	1
27922680	Hanxiao_Cheng	2
27922680	Haihua_Chen	3
27922680	Jufang_Zhang	4
27907142	Kota_Kasahara	1
27907142	Kengo_Kinoshita	2
27900679	Shihong_Zhao	1
27900679	Jinquan_Cai	2
27900679	Jianlong_Li	3
27900679	Guiqiu_Bao	4
27900679	Di_Li	5
27900679	Yongli_Li	6
27900679	Xiuwei_Zhai	7
27900679	Chuanlu_Jiang	8
27900679	Lihua_Fan	9
27899966	Jianxun_Yang	1
27899966	Ning_Wang	2
27896985	Modest_VON_Korff	1
27896985	Tobias_Fink	2
27896985	Thomas_Sander	3
27895852	Mona_Zamanian_Azodi	1
27895852	Hassan_Peyvandi	2
27895852	Mohammad_Rostami-Nejad	3
27895852	Akram_Safaei	4
27895852	Kamran_Rostami	5
27895852	Reza_Vafaee	6
27895852	Mohammadhossein_Heidari	7
27895852	Mostafa_Hosseini	8
27895852	Mohammad_Reza_Zali	9
27895744	Pengfei_Liu	1
27895744	Manna_Sun	2
27895744	Wenhua_Jiang	3
27895744	Jinkun_Zhao	4
27895744	Chunyong_Liang	5
27895744	Huilai_Zhang	6
27895742	Bin_Song	1
27895742	Juan_Du	2
27895742	Neng_Deng	3
27895742	Ji-Chen_Ren	4
27895742	Zhen-Bo_Shu	5
27853512	Tanja_Muetze	1
27853512	Ivan_H_Goenawan	2
27853512	Heather_L_Wiencko	3
27853512	Manuel_Bernal-Llinares	4
27853512	Kenneth_Bryan	5
27853512	David_J_Lynn	6
27853510	Karoline_Faust	1
27853510	Jeroen_Raes	2
27855613	Maryam_Iman	1
27855613	Seyede_Samaneh_Mostafavi	2
27855613	Seyed_Shahriar_Arab	3
27855613	Sadegh_Azimzadeh	4
27855613	Mansour_Poorebrahim	5
27853520	Braxton_Fitts	1
27853520	Ziran_Zhang	2
27853520	Massoud_Maher	3
27853520	Barry_Demchak	4
27846294	Yang_Sheng_Wu	1
27846294	Yi-Tao_Chen	2
27846294	Yu-Ting_Bao	3
27846294	Zhe-Ming_Li	4
27846294	Xiao-Jie_Zhou	5
27846294	Jia-Na_He	6
27846294	Shi-Jie_Dai	7
27846294	Chang_Yu_Li	8
27840954	Dadong_Wang	1
27840954	Zi-Man_Zhu	2
27840954	Yu-Liang_Tu	3
27840954	Chun-Qing_Dou	4
27840954	Yong_Xu	5
27840954	Xiang-Long_Tan	6
27840954	Ming-Ming_Han	7
27840954	Zhuang-Jie_Yang	8
27840954	Xin_Jin	9
27840954	Bao_Zhang	10
27840954	Shouwang_Cai	11
27840954	Zhi-Wei_Liu	12
27840927	Ying_Liu	1
27840927	Lei_Liu	2
27840927	Tao_Yu	3
27840927	He-Chun_Lin	4
27840927	Dandan_Chu	5
27840927	Wei_Deng	6
27840927	Ming-Xia_Yan	7
27840927	Jing_Li	8
27840927	Ming_Yao	9
27835046	Orsolya_Biró	1
27835046	Bálint_Nagy	2
27835046	János_Rigó	3
27834916	Soudabeh_Sabetian	1
27834916	Mohd_Shahir_Shamsir	2
27831650	M-R_Yang	1
27831650	Y_Zhang	2
27831650	X-X_Wu	3
27831650	W_Chen	4
27830058	Mike_Kucera	1
27830058	Ruth_Isserlin	2
27830058	Arkady_Arkhangorodsky	3
27830058	Gary_D_Bader	4
27829444	Wenqi_Chen	1
27829444	Jinhai_Zhang	2
27814735	Meena_Kumari_Kotni	1
27814735	Mingzhu_Zhao	2
27814735	Dong-Qing_Wei	3
27802793	Guohua_Wang	1
27802793	Lan_Wu	2
27802793	Zhi_Chen	3
27802793	Jinghui_Sun	4
27797457	Panneerselvam_Theivendren	1
27797457	Arumugam_Subramanian	2
27797457	Indhumathy_Murugan	3
27797457	Shrinivas_D_Joshi	4
27797457	Uttam_A_More	5
27794559	Thomas_Van_Parys	1
27794559	Ine_Melckenbeeck	2
27794559	Maarten_Houbraken	3
27794559	Pieter_Audenaert	4
27794559	Didier_Colle	5
27794559	Mario_Pickavet	6
27794559	Piet_Demeester	7
27794559	Yves_Van_de_Peer	8
26510741	Anna_Antonell	1
26510741	Albert_Lladó	2
26510741	Raquel_Sánchez-Valle	3
26510741	Coral_Sanfeliu	4
26510741	Teresa_Casserras	5
26510741	Lorena_Rami	6
26510741	Cristina_Muñoz-García	7
26510741	Adrià_Dangla-Valls	8
26510741	Mircea_Balasa	9
26510741	Patricia_Boya	10
26510741	Susana_G_Kalko	11
26510741	José_Luis_Molinuevo	12
27667480	Jiantao_Zhang	1
27667480	Wenli_Zhou	2
27667480	Ying_Liu	3
27667480	Nan_Li	4
27666388	Weiwei_Fan	1
27666388	Shuang_Chang	2
27666388	Xiumei_Shan	3
27666388	Dejun_Gao	4
27666388	Steven_Qian_Zhang	5
27666388	Jin_Zhang	6
27666388	Nan_Jiang	7
27666388	Duan_Ma	8
27666388	Zuohua_Mao	9
27765602	Paul_Monsarrat	1
27765602	Philippe_Kemoun	2
27765602	Jean-Noel_Vergnes	3
27765602	Luc_Sensebe	4
27765602	Louis_Casteilla	5
27765602	Valerie_Planat-Benard	6
27765529	Xue_Jiang	1
27765529	Lichun_Feng	2
27765529	Baoqiang_Dai	3
27765529	Liping_Li	4
27765529	Weiwei_Lu	5
27757782	Zhanzhan_Xu	1
27757782	Yu_Zhou	2
27757782	Yexuan_Cao	3
27757782	Thi_Lan_Anh_Dinh	4
27757782	Jing_Wan	5
27757782	Min_Zhao	6
27208688	Mariana_Pereira_Antoniassi	1
27208688	Paula_Intasqui	2
27208688	Mariana_Camargo	3
27208688	Daniel_Suslik_Zylbersztejn	4
27208688	Valdemir_Melechco_Carvalho	5
27208688	Karina_H_M_Cardozo	6
27208688	Ricardo_Pimenta_Bertolla	7
27738870	Ruth_Ruiz_Esparza-Garrido	1
27738870	Juan_Manuel_Rodríguez-Corona	2
27738870	Javier_Enrique_López-Aguilar	3
27738870	Marco_Antonio_Rodríguez-Florido	4
27738870	Ana_Claudia_Velázquez-Wong	5
27738870	Rubí_Viedma-Rodríguez	6
27738870	Fabio_Salamanca-Gómez	7
27738870	Miguel_Ángel_Velázquez-Flores	8
27716259	Chenghua_Du	1
27716259	Pan_Pan	2
27716259	Yan_Jiang	3
27716259	Qiuli_Zhang	4
27716259	Jinsuo_Bao	5
27716259	Chang_Liu	6
27711182	Heng_Xia	1
27711182	Libin_Zhang	2
27711182	Gang_Wu	3
27711182	Chunhua_Fu	4
27711182	Yan_Long	5
27711182	Jun_Xiang	6
27711182	Jianping_Gan	7
27711182	Yanhong_Zhou	8
27711182	Longjiang_Yu	9
27711182	Maoteng_Li	10
27708692	Fan_Yi	1
27708692	Xiao-Lei_Tan	2
27708692	Xin_Yan	3
27708692	Hai-Bo_Liu	4
27698802	Junguo_Wang	1
27698802	Fang_Mei	2
27698802	Xia_Gao	3
27698802	Shoulin_Wang	4
27698798	Guo-Hua_Jin	1
27698798	Wei_Xu	2
27698798	Yang_Shi	3
27698798	Li-Bo_Wang	4
27698747	Bin_Song	1
27698747	Juan_Du	2
27698747	Ye_Feng	3
27698747	Yong-Jian_Gao	4
27698747	Ji-Sheng_Zhao	5
27682024	Hongyan_Li	1
27682024	Xiaonan_Zhao	2
27682024	Jing_Wang	3
27682024	Minru_Zong	4
27682024	Hailing_Yang	5
27667790	Muhammad_Shoaib	1
27667790	Adnan_Ahmad_Ansari	2
27667790	Sung-Min_Ahn	3
27655333	Xue-Bing_Qin	1
27655333	Wei-Jue_Zhang	2
27655333	Lin_Zou	3
27655333	Pei-Jia_Huang	4
27655333	Bao-Jun_Sun	5
27634459	Peizhan_Chen	1
27634459	Xiaohua_Duan	2
27634459	Mian_Li	3
27634459	Chao_Huang	4
27634459	Jingquan_Li	5
27634459	Ruiai_Chu	6
27634459	Hao_Ying	7
27634459	Haiyun_Song	8
27634459	Xudong_Jia	9
27634459	Qian_Ba	10
27634459	Hui_Wang	11
27621916	Hamid_Alavi_Majd	1
27621916	Atefeh_Talebi	2
27621916	Kambiz_Gilany	3
27621916	Nasibeh_Khayyer	4
27613243	Zhikui_Wang	1
27613243	Zhaoxia_Wang	2
27613243	Zhongqi_Zhou	3
27613243	Yueqin_Ren	4
27610375	Xiang_Jin	1
27610375	Xingang_Liu	2
27610375	Xiaodan_Li	3
27610375	Yinghui_Guan	4
27602130	Changyu_Zhou	1
27602130	Jiayu_Li	2
27602130	Jiarui_Li	3
27602130	Yingchun_Wan	4
27602130	Tao_Li	5
27602130	Piyong_Ma	6
27602130	Yingjian_Wang	7
27602130	Haiyan_Sang	8
27599581	Liang-Yuan_Chen	1
27599581	Zhao-Lei_Cui	2
27599581	Fan-Cui_Hua	3
27599581	Weng-Jing_Yang	4
27599581	Ye_Bai	5
27599581	Feng-Hua_Lan	6
27599550	Maryam_Nazarieh	1
27599550	Andreas_Wiese	2
27599550	Thorsten_Will	3
27599550	Mohamed_Hamed	4
27599550	Volkhard_Helms	5
27595129	Carolina_Moretto_Carnielli	1
27595129	Juliana_Artier	2
27595129	Julio_Cezar_Franco_de_Oliveira	3
27595129	Maria_Teresa_Marques_Novo-Mansur	4
27587986	Judith_G_Hall	1
27587986	Jeff_Kiefer	2
27586009	Jiajie_Peng	1
27586009	Hongxiang_Li	2
27586009	Yongzhuang_Liu	3
27586009	Liran_Juan	4
27586009	Qinghua_Jiang	5
27586009	Yadong_Wang	6
27586009	Jin_Chen	7
27581154	Bin_Liang	1
27581154	Chunning_Li	2
27581154	Jianying_Zhao	3
27559157	Jamie_Soul	1
27559157	Sara_L_Dunn	2
27559157	Tim_E_Hardingham	3
27559157	Ray_P_Boot-Handford	4
27559157	Jean-Marc_Schwartz	5
27531214	Robert_Pesch	1
27531214	Ralf_Zimmer	2
27524402	Krista_Longnecker	1
27524402	Elizabeth_B_Kujawinski	2
27516065	Fan_Gao	1
27516065	Fangru_Nan	2
27516065	Jia_Feng	3
27516065	Junping_Lv	4
27516065	Qi_Liu	5
27516065	Shulian_Xie	6
27503052	Fleur_Jeanquartier	1
27503052	Claire_Jean-Quartier	2
27503052	David_Cemernek	3
27503052	Andreas_Holzinger	4
27497640	Jia-Rong_Gao	1
27497640	Xiu-Juan_Qin	2
27497640	Hui_Jiang	3
27497640	Ting_Wang	4
27497640	Jun-Mei_Song	5
27497640	Shuang-Zhi_Xu	6
27487266	Uma_Chandran	1
27487266	Bhushan_Patwardhan	2
27482299	Agnieszka_Szostak	1
27482299	Magdalena_Ogłuszka	2
27482299	Marinus_F_W_Te_Pas	3
27482299	Ewa_Poławska	4
27482299	Paweł_Urbański	5
27482299	Edyta_Juszczuk-Kubiak	6
27482299	Tadeusz_Blicharski	7
27482299	Chandra_Shekhar_Pareek	8
27482299	Jenelle_R_Dunkelberger	9
27482299	Jarosław_O_Horbańczuk	10
27482299	Mariusz_Pierzchała	11
27466623	Shu_Tadaka	1
27466623	Kengo_Kinoshita	2
27456030	Nanda_Kumar_Yellapu	1
