pmid	year	journal	title
27853520	2016	F1000Res	dot-app: a Graphviz-Cytoscape conversion plug-in.
23297033	2013	Bioinformatics	RamiGO: an R/Bioconductor package providing an AmiGO visualize interface.
23180784	2012	Nucleic Acids Res.	RiceFREND: a platform for retrieving coexpressed gene networks in rice.
22732016	2012	Genome Med	In silico analysis of HLA associations with drug-induced liver injury: use of a HLA-genotyped DNA archive from healthy volunteers.
19925686	2009	Source Code Biol Med	HAMSTER: visualizing microarray experiments as a set of minimum spanning trees.
18692072	2008	J. Theor. Biol.	Natural/random protein classification models based on star network topological indices.
18581820	2008	Health Care Manag Sci	Managing an emergency department by analysing HIS medical data: a focus on elderly patient clinical pathways.
18511468	2008	Bioinformatics	Ontologizer 2.0--a multifunctional tool for GO term enrichment analysis and data exploration.
18467777	2008	In Silico Biol. (Gedrukt)	HBAT: a complete package for analysing strong and weak hydrogen bonds in macromolecular crystal structures.
18236171	2008	J. Struct. Funct. Genomics	A graphical approach to tracking and reporting target status in structural genomics.
18084648	2007	Bioinformation	HBNG: Graph theory based visualization of hydrogen bond networks in protein structures.
17911834	2007	Stud Health Technol Inform	Towards a decision support system for optimising clinical pathways of elderly patients in an emergency department.
17855420	2007	Bioinformatics	AVIS: AJAX viewer of interactive signaling networks.
16527832	2006	Bioinformatics	The SBML ODE Solver Library: a native API for symbolic and fast numerical analysis of reaction networks.
16488908	2006	Bioinformatics	Pedigree-drawing with R and graphviz.
15297301	2004	Bioinformatics	Network structures and algorithms in Bioconductor.
14728297	2004	AMIA Annu Symp Proc	Graphical visualization and navigation of genetic disease information.
11262970	2001	Pac Symp Biocomput	PIES, a protein interaction extraction system.
