pmid	year	count	title	otherid
5178346	2016	1	<monospace>Seqenv</monospace>: linking sequences to environments through text mining	28028456
5103826	2016	1	RGFA: powerful and convenient handling of assembly graphs	27843717
5129702	2016	1	PLAT: An Automated Fault and Behavioural Anomaly Detection Tool for PLC Controlled Manufacturing Systems	27974882
5085095	2016	1	Heritable DNA Methylation in CD4<sup>+</sup> Cells among Complex Families Displays Genetic and Non-Genetic Effects	27792787
5105883	2016	52	dot-app: a Graphviz-Cytoscape conversion plug-in	27853520
5071336	2016	1	A Foxp2 Mutation Implicated in Human Speech Deficits Alters Sequencing of Ultrasonic Vocalizations in Adult Male Mice	27812326
5089131	2016	1	CoNet app: inference of biological association networks using Cytoscape	27853510
5051932	2016	1	Modelling Creativity: Identifying Key Components through a Corpus-Based Approach	27706185
5048203	2016	1	Connectomics-based structural network alterations in obsessive-compulsive disorder	27598966
5008583	2016	2	Genome-wide DNA methylation profiling and its involved molecular pathways from one individual with thyroid malignant/benign tumor and hyperplasia	27583899
4982630	2016	2	Analysis of <italic>Mycobacterium tuberculosis</italic> Genotypic Lineage Distribution in Chile and Neighboring Countries	27518286
4971676	2016	1	Mango: combining and analyzing heterogeneous biological networks	27489569
4985287	2016	1	Adaptation in protein fitness landscapes is facilitated by indirect paths	27391790
4928784	2016	1	FISHtrees 3.0: Tumor Phylogenetics Using a Ploidy Probe	27362268
5018370	2016	1	MIA: non-targeted mass isotopolome analysis	27273671
4869388	2016	1	CINOEDV: a co-information based method for detecting and visualizing <italic>n</italic>-order epistatic interactions	27184783
4825623	2016	1	Learning from Co-expression Networks: Possibilities and Challenges	27092161
4824424	2016	2	A Knowledge-Based System for Display and Prediction of <italic>O</italic>-Glycosylation Network Behaviour in Response to Enzyme Knockouts	27054587
4823825	2016	1	Spatial and temporal homogeneity of driver mutations in diffuse intrinsic pontine glioma	27048880
4820913	2016	1	The systems biology format converter	27044654
4911943	2016	1	Two Influential Primate Classifications Logically Aligned	27009895
4780814	2016	1	Analysis of the Structure of Surgical Activity for a Suturing and Knot-Tying Task	26950551
4761173	2016	1	Molecular foundations of chilling-tolerance of modern maize	26897027
4757102	2016	1	Comprehensive Map of Molecules Implicated in Obesity	26886906
4736182	2016	1	End-to-end automated microfluidic platform for synthetic biology: from design to functional analysis	26839585
