pmid	author	order
28012239	AnneMarie_C_Brescia	1
28012239	Megan_M_Simonds	2
28012239	Kathleen_E_Sullivan	3
28012239	Carlos_D_Rose	4
28003019	Susanne_Schüler-Toprak	1
28003019	Julia_Häring	2
28003019	Elisabeth_C_Inwald	3
28003019	Christoph_Moehle	4
28003019	Olaf_Ortmann	5
28003019	Oliver_Treeck	6
28002487	Anna_Slawinska	1
28002487	Arkadiusz_Plowiec	2
28002487	Maria_Siwek	3
28002487	Marcin_Jaroszewski	4
28002487	Marek_Bednarczyk	5
27999531	Jun_Yu	1
27999531	Xiaosong_Gu	2
27999531	Sheng_Yi	3
27998058	Alfredo_Oliveros	1
27998058	Phillip_Starski	2
27998058	Daniel_Lindberg	3
27998058	Sun_Choi	4
27998058	Carrie_J_Heppelmann	5
27998058	Surendra_Dasari	6
27998058	Doo-Sup_Choi	7
27995293	Ryeo-Ok_Kim	1
27995293	Jin_Soo_Choi	2
27995293	Byoung-Chul_Kim	3
27995293	Woo-Keun_Kim	4
27992366	Jiye_Li	1
27992366	Chuzhong_Li	2
27992366	Jianpeng_Wang	3
27992366	Guidong_Song	4
27992366	Zheng_Zhao	5
27992366	Haoyuan_Wang	6
27992366	Wen_Wang	7
27992366	Hailong_Li	8
27992366	Zhenye_Li	9
27992366	Yazhou_Miao	10
27992366	Guilin_Li	11
27992366	Yazhuo_Zhang	12
27986634	Riqiang_Liu	1
27986634	Tianhua_Liu	2
27986634	Wei_Wei	3
27986634	Kun_Guo	4
27986634	Ning_Yang	5
27986634	Siqi_Tian	6
27986634	Jia_Zhu	7
27986634	Yinkun_Liu	8
27986634	Wenting_Zhou	9
27986634	Huawei_Yang	10
27983725	C_Botta	1
27983725	M_T_Di_Martino	2
27983725	D_Ciliberto	3
27983725	M_Cucè	4
27983725	P_Correale	5
27983725	M_Rossi	6
27983725	P_Tagliaferri	7
27983725	P_Tassone	8
27941074	Gianluca_Turcatel	1
27941074	Katelyn_Millette	2
