pmid	year	count	title	otherid
5192429	2016	2	Protein Phosphatase-1 Regulates Expression of Neuregulin-1	27918433
5192384	2016	1	Comparative Proteome Analysis of Porcine Jejunum Tissues in Response to a Virulent Strain of Porcine Epidemic Diarrhea Virus and Its Attenuated Strain	27916855
5115172	2016	1	Identification of <italic>CETP</italic> as a molecular target for estrogen positive breast cancer cell death by cholesterol depleting agents	
5198498	2016	2	Analysis of molecular networks and targets mining of Chinese herbal medicines on anti-aging	28031022
5177886	2016	1	Spatially-Resolved Proteomics: Rapid Quantitative Analysis of Laser Capture Microdissected Alveolar Tissue Samples	28004771
5177873	2016	1	Convergent evidence for the molecular basis of musical traits	28004803
5178093	2016	1	Potential immunosuppressive effects of <italic>Escherichia coli</italic> O157:H7 experimental infection on the bovine host	28003017
5178087	2016	3	Agonists and knockdown of estrogen receptor &#x3B2; differentially affect invasion of triple-negative breast cancer cells in vitro	28003019
5175267	2016	3	Hematopoietic Stem Cells in Neural-crest Derived Bone Marrow	28000662
5175196	2016	1	Knowledge-Guided Bioinformatics Model for Identifying Autism Spectrum Disorder Diagnostic MicroRNA Biomarkers	28000768
5192500	2016	1	microRNA Expression in Sentinel Nodes from Progressing Melanoma Patients Identifies Networks Associated with Dysfunctional Immune Response	27983661
5153655	2016	1	Comparative Systems Analyses Reveal Molecular Signatures of Clinically tested Vaccine Adjuvants	27958370
5151130	2016	1	DNA methylation signatures of chronic low-grade inflammation are associated with complex diseases	27955697
5151129	2016	1	Plasma microRNA biomarker detection for mild cognitive impairment using differential correlation analysis	27999671
5148157	2016	2	Hedgehog Signaling Overcomes an EZH2-Dependent Epigenetic Barrier to Promote Cholangiocyte Expansion	27936185
5148031	2016	1	Developmental Stage, Muscle and Genetic Type Modify Muscle Transcriptome in Pigs: Effects on Gene Expression and Regulatory Factors Involved in Growth and Metabolism	27936208
5146729	2016	1	Biological marks of early-life socioeconomic experience is detected in the adult inflammatory transcriptome	27934951
5157709	2016	1	Data on evolution of intrinsically disordered regions of the human kinome and contribution of FAK1 IDRs to cytoskeletal remodeling	28004021
5145186	2016	1	Transcriptomic Changes in Liver of Young Bulls Caused by Diets Low in Mineral and Protein Contents and Supplemented with n-3 Fatty Acids and Conjugated Linoleic Acid	27930681
5145164	2016	4	Coordinated Activation of VEGF/VEGFR-2 and PPAR&#x3B4; Pathways by a Multi-Component Chinese Medicine DHI Accelerated Recovery from Peripheral Arterial Disease in Type 2 Diabetic Mice	27930695
5138607	2016	1	Convex Analysis of Mixtures for Separating Non-negative Well-grounded Sources	27922124
5138191	2016	1	Ingenuity Pathway Analysis of Gene Expression Profiles in Distal Nerve Stump following Nerve Injury: Insights into Wallerian Degeneration	27999531
5139010	2016	1	<italic>TRPM2</italic> SNP genotype previously associated with susceptibility to <italic>Rhodococcus equi</italic> pneumonia in Quarter Horse foals displays differential gene expression identified using RNA-Seq	27919223
5187819	2016	3	Human Intervention Study to Assess the Effects of Supplementation with Olive Leaf Extract on Peripheral Blood Mononuclear Cell Gene Expression	27918443
5131988	2016	6	Exploring Regulatory Mechanisms of Atrial Myocyte Hypertrophy of Mitral Regurgitation through Gene Expression Profiling Analysis: Role of NFAT in Cardiac Hypertrophy	27907007
5131489	2016	1	Pesticide toxicogenomics across scales: <italic>in vitro</italic> transcriptome predicts mechanisms and outcomes of exposure <italic>in vivo</italic>	27905518
5131312	2016	2	The mammalian LINC complex regulates genome transcriptional responses to substrate rigidity	27905489
5167308	2016	1	A Multi&#x2010;target Small Molecule for Targeted Transcriptional Activation of Therapeutically Significant Nervous System Genes	28032018
5131449	2016	4	Systematic analysis of chromatin interactions at disease associated loci links novel candidate genes to inflammatory bowel disease	27903283
