pmid	year	journal	title
27993779	2016	Bioinformatics	Recon2Neo4j: Applying graph database technologies for managing comprehensive genome-scale networks.
27919219	2016	BMC Bioinformatics	STON: exploring biological pathways using the SBGN standard and graph databases.
27587666	2016	Bioinformatics	PanTools: representation, storage and exploration of pan-genomic data.
27462371	2016	BioData Min	Representing and querying disease networks using graph databases.
27196054	2016	PLoS ONE	An Integrated Data Driven Approach to Drug Repositioning Using Gene-Disease Associations.
26998997	2016	PLoS ONE	miTALOS v2: Analyzing Tissue Specific microRNA Function.
26708334	2015	Bioinformatics	HitWalker2: visual analytics for precision medicine and beyond.
26657893	2015	Plant Cell Physiol.	HRGRN: A Graph Search-Empowered Integrative Database of Arabidopsis Signaling Transduction, Metabolism and Gene Regulation Networks.
26272981	2015	Bioinformatics	cyNeo4j: connecting Neo4j and Cytoscape.
26262393	2015	Stud Health Technol Inform	Constructing a Graph Database for Semantic Literature-Based Discovery.
25520553	2014	Cancer Inform	Semantically linking in silico cancer models.
