pmid	year	journal	title
28533983	2017	PeerJ	Comparative transcriptome analyses of a late-maturing mandarin mutant and its original cultivar reveals gene expression profiling associated with citrus fruit maturation.
28533787	2017	Front Plant Sci	Genome-Wide Analysis of Gene Expression Provides New Insights into Cold Responses in Thellungiella salsuginea.
28529815	2016	Quant Biol	&quot;RADIOTRANSCRIPTOMICS&quot;: A synergy of imaging and transcriptomics in clinical assessment.
28531235	2017	PLoS ONE	RNA-Seq analysis of gene expression for floral development in crested wheatgrass (Agropyron cristatum L.).
28529717	2017	F1000Res	Gene length and detection bias in single cell RNA sequencing protocols.
28529687	2017	Cell Biosci	Histone demethylases UTX and JMJD3 are required for NKT cell development in mice.
28529652	2017	J Genomics	De Novo Assembly of the Liver Transcriptome of the European Starling, Sturnus vulgaris.
28523007	2017	Front Plant Sci	Transcriptomic Identification of Drought-Related Genes and SSR Markers in Sudan Grass Based on RNA-Seq.
28520800	2017	PLoS ONE	Transcriptome profiling revealed novel transcriptional regulators in maize responses to Ostrinia furnacalis and jasmonic acid.
28520766	2017	PLoS ONE	Transcriptomic analysis of salt stress responsive genes in Rhazya stricta.
28520720	2017	PLoS ONE	Identification of human short introns.
28515787	2017	Epigenetics Chromatin	A computational approach for the functional classification of the epigenome.
28515736	2017	Front Plant Sci	Expression of Key Structural Genes of the Phenylpropanoid Pathway Associated with Catechin Epimerization in Tea Cultivars.
28515735	2017	Front Plant Sci	Time-Course Transcriptome Analysis of Compatible and Incompatible Pollen-Stigma Interactions in Brassica napus L.
28512462	2017	Front Plant Sci	De novo Transcriptome Profiling of Flowers, Flower Pedicels and Pods of Lupinus luteus (Yellow Lupine) Reveals Complex Expression Changes during Organ Abscission.
28507559	2017	Front Plant Sci	The DnaJ Gene Family in Pepper (Capsicum annuum L.): Comprehensive Identification, Characterization and Expression Profiles.
28503490	2017	Front Cell Infect Microbiol	The Distinct Transcriptional Response of the Midgut of Amblyomma sculptum and Amblyomma aureolatum Ticks to Rickettsia rickettsii Correlates to Their Differences in Susceptibility to Infection.
28503180	2017	Front Plant Sci	Transcriptomic Comparison Reveals Candidate Genes for Triterpenoid Biosynthesis in Two Closely Related Ilex Species.
28493890	2017	PLoS ONE	Transcriptome-wide analysis of alternative RNA splicing events in Epstein-Barr virus-associated gastric carcinomas.
28493130	2017	Methods Mol. Biol.	A Bioinformatics Pipeline for the Identification of CHO Cell Differential Gene Expression from RNA-Seq Data.
28491065	2017	Front Plant Sci	OsPhyB-Mediating Novel Regulatory Pathway for Drought Tolerance in Rice Root Identified by a Global RNA-Seq Transcriptome Analysis of Rice Genes in Response to Water Deficiencies.
28491023	2017	Front Mol Neurosci	Characterization of the Transcriptomes of Lgr5+ Hair Cell Progenitors and Lgr5- Supporting Cells in the Mouse Cochlea.
28489891	2017	PLoS ONE	RNA-seq approach to analysis of gene expression profiles in dark green islands and light green tissues of Cucumber mosaic virus-infected Nicotiana tabacum.
28486549	2017	PLoS ONE	Genome and transcriptome profiling of fibrolamellar hepatocellular carcinoma demonstrates p53 and IGF2BP1 dysregulation.
28486493	2017	PLoS ONE	Characterization of joining sites of a viral histone H4 on host insect chromosomes.
28486484	2017	PLoS ONE	The Rhizoctonia solani AG1-IB (isolate 7/3/14) transcriptome during interaction with the host plant lettuce (Lactuca sativa L.).
28484474	2017	Front Plant Sci	Transcriptomics Analyses Reveal Wheat Responses to Drought Stress during Reproductive Stages under Field Conditions.
28484361	2017	Hereditas	Analysis of differentially expressed genes and adaptive mechanisms of Prunus triloba Lindl. under alkaline stress.
28480144	2017	PeerJ	Transcriptome assembly and candidate genes involved in nutritional programming in the swordtail fish Xiphophorus multilineatus.
28479747	2017	Bioinformation	Elucidation of the sequential transcriptional activity in Escherichia coli using time-series RNA-seq data.
28475575	2017	PLoS ONE	Age, gender and UV-exposition related effects on gene expression in in vivo aged short term cultivated human dermal fibroblasts.
28473774	2017	Front Physiol	LncRNA-Six1 Encodes a Micropeptide to Activate Six1 in Cis and Is Involved in Cell Proliferation and Muscle Growth.
28472139	2017	PLoS ONE	Gene expression profiling in Pekin duck embryonic breast muscle.
28472080	2017	PLoS ONE	Transcriptome analysis of muskrat scented glands degeneration mechanism.
28469601	2017	Front Microbiol	Comparative Genomics and Transcriptional Analysis of Flavobacterium columnare Strain ATCC 49512.
28467453	2017	PLoS ONE	Functional analysis of two sterol regulatory element binding proteins in Penicillium digitatum.
28464030	2017	PLoS ONE	Screening candidate microRNAs (miRNAs) in different lambskin hair follicles in Hu sheep.
28464018	2017	PLoS ONE	Comparative transcriptional profiling of Gracilariopsis lemaneiformis in response to salicylic acid- and methyl jasmonate-mediated heat resistance.
28462040	2017	PeerJ	Analysis of the in planta transcriptome expressed by the corn pathogen Pantoea stewartii subsp. stewartii via RNA-Seq.
28459823	2017	PLoS ONE	A comparison of per sample global scaling and per gene normalization methods for differential expression analysis of RNA-seq data.
28459821	2017	PLoS ONE	Optimized approach for Ion Proton RNA sequencing reveals details of RNA splicing and editing features of the transcriptome.
28458678	2017	Front Plant Sci	Comprehensive Transcriptome Analyses Reveal Differential Gene Expression Profiles of Camellia sinensis Axillary Buds at Para-, Endo-, Ecodormancy, and Bud Flush Stages.
