pmid	year	count	title	otherid
5424488	2017	3	Skeletal Muscle Cell Induction from Pluripotent Stem Cells	28529527
5424177	2017	4	Advancements in Developing Strategies for Sterilizing and Functional HIV Cures	28529952
5437071	2017	4	Precise genome-wide base editing by the CRISPR Nickase system in yeast	28522803
5435461	2017	34	Dissection of zebrafish <italic>shha</italic> function using site-specific targeting with a Cre-dependent genetic switch	28513431
5430608	2017	1	Building a multipurpose insertional mutant library for forward and reverse genetics in <italic>Chlamydomonas</italic>	28515773
5429572	2017	1	Intrabodies against the Polysialyltransferases ST8SiaII and ST8SiaIV inhibit Polysialylation of NCAM in rhabdomyosarcoma tumor cells	28499450
5429543	2017	7	Characterization of a splice-site mutation in the tumor suppressor gene <italic>FLCN</italic> associated with renal cancer	28499369
5431645	2017	2	Adaptation to dietary conditions by trehalose metabolism in <italic>Drosophila</italic>	28487555
5431539	2017	1	An all-in-one, Tet-On 3G inducible PiggyBac system for human pluripotent stem cells and derivatives	28484230
5423769	2017	5	The Sec14-like phosphatidylinositol transfer proteins Sec14l3/SEC14L2 act as GTPase proteins to mediate Wnt/Ca<sup>2+</sup> signaling	28463110
5412054	2017	1	The biological function of the cellular prion protein: an update	28464931
5407792	2017	1	Successful vitrification of pronuclear-stage pig embryos with a novel cryoprotective agent, carboxylated &#x3B5;-poly-L-lysine	28448636
5404292	2017	31	Plant genome editing with TALEN and CRISPR	28451378
5397409	2017	3	Myotonic Dystrophies: State of the Art of New Therapeutic Developments for the CNS	28473756
5430486	2017	1	Generation of heritable germline mutations in the jewel wasp <italic>Nasonia vitripennis</italic> using CRISPR/Cas9	28424460
5413347	2017	6	Regulation of mitochondria-dynactin interaction and mitochondrial retrograde transport in axons	28414272
5386974	2017	8	Viral Vectors for Plant Genome Engineering	28443125
5429678	2017	7	A Pair of Maternal Chromosomes Derived from Meiotic Nondisjunction in Trisomy 21 Affects Nuclear Architecture and Transcriptional Regulation	28396582
5381947	2017	1	Molecular cloning and expression analysis of the <italic>aqp1aa</italic> gene in half-smooth tongue sole (<italic>Cynoglossus semilaevis</italic>)	28380032
5380955	2017	8	Ablation of <italic>EYS</italic> in zebrafish causes mislocalisation of outer segment proteins, F-actin disruption and cone-rod dystrophy	28378834
