pmid	year	journal	title
28529617	2017	J Cancer	Combined Detection of Plasma ZIC1, HOXD10 and RUNX3 Methylation is a Promising Strategy for Early Detection of Gastric Cancer and Precancerous Lesions.
28523558	2017	Adv. Exp. Med. Biol.	Epigenome Editing in the Brain.
28515798	2017	Clin Epigenetics	Epigenome-wide association of myocardial infarction with DNA methylation sites at loci related to cardiovascular disease.
28507559	2017	Front Plant Sci	The DnaJ Gene Family in Pepper (Capsicum annuum L.): Comprehensive Identification, Characterization and Expression Profiles.
28503069	2017	Onco Targets Ther	Downregulation of long noncoding RNA TUG1 inhibits proliferation and induces apoptosis through the TUG1/miR-142/ZEB2 axis in bladder cancer cells.
28490276	2017	Reprod Sci	Endometrial Stromal and Epithelial Cells Exhibit Unique Aberrant Molecular Defects in Patients With Endometriosis.
28484309	2017	Mol. Vis.	Identification of seven novel ZNF469 mutations in keratoconus patients in a Han Chinese population.
28451295	2017	Chem Sci	Design of a synthetic luminescent probe from a biomolecule binding domain: selective detection of AU-rich mRNA sequences.
28451269	2017	Chem Sci	Enhancement of the physicochemical properties of [Pt(dien)(nucleobase)](2+) for HIVNCp7 targeting.
28424591	2017	Front Cell Neurosci	Bcl11b-A Critical Neurodevelopmental Transcription Factor-Roles in Health and Disease.
28421440	2017	Dokl. Biochem. Biophys.	Transcriptomic changes in human umbilical cord blood endothelial cells under simulated microgravity.
28408914	2017	Front Plant Sci	Transcriptome Analysis Reveals Candidate Genes Related to Color Fading of 'Red Bartlett' (Pyrus communis L.).
28406917	2017	PLoS ONE	Methylomic changes in individuals with psychosis, prenatally exposed to endocrine disrupting compounds: Lessons from diethylstilbestrol.
28405157	2017	Drug Des Devel Ther	Decitabine reverses TGF-β1-induced epithelial-mesenchymal transition in non-small-cell lung cancer by regulating miR-200/ZEB axis.
28403217	2017	PLoS ONE	Embryonic loss of human females with partial trisomy 19 identifies region critical for the single active X.
28402059	2017	Reprod. Domest. Anim.	Molecular markers of putative spermatogonial stem cells in the domestic cat.
28401061	2017	Front Oncol	Transcription Factor GFI1B in Health and Disease.
28396661	2017	Front Immunol	Phenotype of NK-Like CD8(+) T Cells with Innate Features in Humans and Their Relevance in Cancer Diseases.
28395334	2017	Biol. Reprod.	Natural killer-cell deficiency alters placental development in rats.
28386361	2017	Am J Transl Res	Downregulation of miR-429 contributes to the development of drug resistance in epithelial ovarian cancer by targeting ZEB1.
28386301	2017	Plant Biotechnol Rep	New traits in crops produced by genome editing techniques based on deletions.
28384299	2017	PLoS ONE	In-depth study of DNA binding of Cys2His2 finger domains in testis zinc-finger protein.
28367154	2017	Front Plant Sci	Genome Analysis Identified Novel Candidate Genes for Ascochyta Blight Resistance in Chickpea Using Whole Genome Re-sequencing Data.
28358915	2017	PLoS ONE	Enhancement of Arabidopsis growth characteristics using genome interrogation with artificial transcription factors.
28355965	2017	Technol. Cancer Res. Treat.	Long Noncoding RNA PVT1 Promotes EMT and Cell Proliferation and Migration Through Downregulating p21 in Pancreatic Cancer Cells.
28353269	2017	Methods Mol. Biol.	Genome Editing in Human Pluripotent Stem Cells.
28334004	2017	PLoS ONE	The mouse genome displays highly dynamic populations of KRAB-zinc finger protein genes and related genetic units.
28303135	2017	Front Immunol	A Human Lin(-) CD123(+) CD127(low) Population Endowed with ILC Features and Migratory Capabilities Contributes to Immunopathological Hallmarks of Psoriasis.
28298916	2017	Front Plant Sci	Transcriptome Analysis of Flowering Time Genes under Drought Stress in Maize Leaves.
28275380	2017	Front Plant Sci	Genetic Transformation and Genomic Resources for Next-Generation Precise Genome Engineering in Vegetable Crops.
28265266	2017	Front Microbiol	HELZ2 Is an IFN Effector Mediating Suppression of Dengue Virus.
28261237	2017	Front Plant Sci	Progress in Genome Editing Technology and Its Application in Plants.
28253718	2017	Neoplasma	TNFAIP3 inhibits migration and invasion in nasopharyngeal carcinoma by suppressing epithelial mesenchymal transition.
28243114	2017	Onco Targets Ther	Clinicopathological significance of ZEB-1 and E-cadherin proteins in patients with oral cavity squamous cell carcinoma.
28241063	2017	PLoS ONE	Role of DNA methylation in expression control of the IKZF3-GSDMA region in human epithelial cells.
28223826	2017	Onco Targets Ther	ARHGAP1 overexpression inhibits proliferation, migration and invasion of C-33A and SiHa cell lines.
28217743	2017	mSphere	Regulation of Nitrogen Metabolism by GATA Zinc Finger Transcription Factors in Yarrowia lipolytica.
28215224	2017	Adv Protein Chem Struct Biol	The Complex Role of the ZNF224 Transcription Factor in Cancer.
28215221	2017	Adv Protein Chem Struct Biol	Targeting Chromatin Remodeling in Inflammation and Fibrosis.
28212417	2017	PLoS ONE	SplitAx: A novel method to assess the function of engineered nucleases.
28203609	2017	Neurogenesis (Austin)	Zeb2: Inhibiting the inhibitors in Schwann cells.
28179977	2017	Comput Struct Biotechnol J	Programmable Genome Editing Tools and their Regulation for Efficient Genome Engineering.
28174577	2017	Front Plant Sci	A Novel RNA-Binding Protein Involves ABA Signaling by Post-transcriptionally Repressing ABI2.
28167953	2017	Front Plant Sci	Biofortification in Millets: A Sustainable Approach for Nutritional Security.
28167937	2017	Front Microbiol	Antiviral Defenses in Plants through Genome Editing.
28164785	2017	Microbiol. Res.	Functions of the Magnaporthe oryzae Flb3p and Flb4p transcription factors in the regulation of conidiation.
28155662	2017	BMC Genomics	An ensemble micro neural network approach for elucidating interactions between zinc finger proteins and their target DNA.
28155654	2017	BMC Genomics	Exploiting the recognition code for elucidating the mechanism of zinc finger protein-DNA interactions.
28152006	2017	PLoS ONE	Expression and prognostic significance of zinc fingers and homeoboxes family members in renal cell carcinoma.
28131278	2017	Mol Ther Nucleic Acids	Reactivating Fetal Hemoglobin Expression in Human Adult Erythroblasts Through BCL11A Knockdown Using Targeted Endonucleases.
28127406	2017	Anal Methods	Multiplexed detection of pathogen-specific DNA using engineered zinc finger proteins without target amplification.
28123942	2017	Mol Metab	Fetal development of subcutaneous white adipose tissue is dependent on Zfp423.
28123941	2017	Mol Metab	Conserved function of the long noncoding RNA Blnc1 in brown adipocyte differentiation.
28123539	2017	Oncol Lett	Bilateral ovarian carcinomas differ in the expression of metastasis-related genes.
28123534	2017	Oncol Lett	Expression and clinical significance of PcG-associated protein RYBP in hepatocellular carcinoma.
28123507	2017	Exp Ther Med	Inhibition of the CyclinD1 promoter in response to sonic hedgehog signaling pathway transduction is mediated by Gli1.
28119852	2017	Front Oncol	GATA1 Activity Governed by Configurations of cis-Acting Elements.
28107688	2017	Comp. Biochem. Physiol. Part D Genomics Proteomics	Sequencing and de novo assembly of visceral mass transcriptome of the critically endangered land snail Satsuma myomphala: Annotation and SSR discovery.
28101685	2017	Recent Results Cancer Res.	Retroviral Vectors for Cancer Gene Therapy.
28095469	2017	PLoS ONE	Characterization of Dof Transcription Factors and Their Responses to Osmotic Stress in Poplar (Populus trichocarpa).
28081140	2017	PLoS ONE	BnLATE, a Cys2/His2-Type Zinc-Finger Protein, Enhances Silique Shattering Resistance by Negatively Regulating Lignin Accumulation in the Silique Walls of Brassica napus.
28072746	2017	Medicine (Baltimore)	ZNF148 modulates TOP2A expression and cell proliferation via ceRNA regulatory mechanism in colorectal cancer.
