pmid	year	count	title	otherid
5424191	2017	1	Molecular Profiling: A Case of<italic> ZBTB16-RARA</italic> Acute Promyelocytic Leukemia	28529810
5437520	2017	1	The adaptation of colorectal cancer cells when forming metastases in the liver: expression of associated genes and pathways in a mouse model	28525976
5437515	2017	2	Insights into the ancestral organisation of the mammalian MHC class II region from the genome of the pteropid bat, <italic>Pteropus alecto</italic>	28521747
5437032	2017	1	Involvement of GATA1 and Sp3 in the activation of the murine STING gene promoter in NIH3T3 cells	28522827
5435702	2017	1	DLX3 interacts with GCM1 and inhibits its transactivation-stimulating activity in a homeodomain-dependent manner in human trophoblast-derived cells	28515447
5432839	2017	1	Obesity-related CpG Methylation (cg07814318) of Kruppel-like Factor-13 (<italic>KLF13</italic>) Gene with Childhood Obesity and its <italic>cis</italic>-Methylation Quantitative Loci	28508896
5433244	2017	1	Rp58 and p27<sup>kip1</sup> coordinate cell cycle exit and neuronal migration within the embryonic mouse cerebral cortex	28506232
5433149	2017	2	An imprinted non-coding genomic cluster at 14q32 defines clinically relevant molecular subtypes in osteosarcoma across multiple independent datasets	28506242
5433082	2017	1	Improving <italic>Saccharomyces cerevisiae</italic> ethanol production and tolerance via RNA polymerase II subunit Rpb7	28515784
5432989	2017	1	Epigenome-wide association of myocardial infarction with DNA methylation sites at loci related to cardiovascular disease	28515798
5432500	2017	1	Disruption of SHH signaling cascade by SBE attenuates lung cancer progression and sensitizes DDP treatment	28507311
5429582	2017	2	The dynamics of early-state transcriptional changes and aggregate formation in a Huntington&#x2019;s disease cell model	28499347
5429532	2017	1	<italic>EpiTEome</italic>: Simultaneous detection of transposable element insertion sites and their DNA methylation levels	28499400
5429320	2017	1	A hairy-leaf gene, <italic>BLANKET LEAF</italic>, of wild <italic>Oryza nivara</italic> increases photosynthetic water use efficiency in rice	28500411
5427609	2017	1	Cattle genome-wide analysis reveals genetic signatures in trypanotolerant N&#x2019;Dama	28499406
