pmid	year	count	title	otherid
5424488	2017	3	Skeletal Muscle Cell Induction from Pluripotent Stem Cells	28529527
5424177	2017	14	Advancements in Developing Strategies for Sterilizing and Functional HIV Cures	28529952
5437071	2017	81	Precise genome-wide base editing by the CRISPR Nickase system in yeast	28522803
5437045	2017	4	TRAF3 enhances TCR signaling by regulating the inhibitors Csk and PTPN22	28522807
5437023	2017	7	Parkin regulation of CHOP modulates susceptibility to cardiac endoplasmic reticulum stress	28522833
5435723	2017	4	Cancer cachexia associates with a systemic autophagy-inducing activity mimicked by cancer cell-derived IL-6 trans-signaling	28515477
5435697	2017	17	Comparative genomic analysis reveals the environmental impacts on two Arcticibacter strains including sixteen Sphingobacteriaceae species	28515455
5435685	2017	1	Development of a Whole Organism Platform for Phenotype-Based Analysis of IGF1R-PI3K-Akt-Tor Action	28515443
5435677	2017	1	A quantitative shRNA screen identifies <italic>ATP1A1</italic> as a gene that regulates cytotoxicity by aurilide B	28515454
5435461	2017	3	Dissection of zebrafish <italic>shha</italic> function using site-specific targeting with a Cre-dependent genetic switch	28513431
5434640	2017	77	<italic>Easi-</italic>CRISPR: a robust method for one-step generation of mice carrying conditional and insertion alleles using long ssDNA donors and CRISPR ribonucleoproteins	28511701
5433149	2017	1	An imprinted non-coding genomic cluster at 14q32 defines clinically relevant molecular subtypes in osteosarcoma across multiple independent datasets	28506242
5433024	2017	3	GUIDEseq: a bioconductor package to analyze GUIDE-Seq datasets for CRISPR-Cas nucleases	28506212
5430608	2017	2	Building a multipurpose insertional mutant library for forward and reverse genetics in <italic>Chlamydomonas</italic>	28515773
5431975	2017	1	Network and role analysis of autophagy in <italic>Phytophthora sojae</italic>	28500315
5431851	2017	1	A genome scan for milk production traits in dairy goats reveals two new mutations in <italic>Dgat1</italic> reducing milk fat content	28500343
5429572	2017	5	Intrabodies against the Polysialyltransferases ST8SiaII and ST8SiaIV inhibit Polysialylation of NCAM in rhabdomyosarcoma tumor cells	28499450
5429569	2017	4	Genome sequence of <italic>Shigella flexneri</italic> strain SP1, a diarrheal isolate that encodes an extended-spectrum &#x3B2;-lactamase (ESBL)	28499446
5429560	2017	1	Genome-wide characterization and expression analyses of superoxide dismutase (<italic>SOD</italic>) genes in <italic>Gossypium hirsutum</italic>	28499417
5427553	2017	2	Current status and perspectives of patient-derived xenograft models in cancer research	28499452
5426024	2017	1	Missing heritability and where to find it	28494787
5424372	2017	2	Chromosomal features of <italic>Escherichia coli</italic> serotype O2:K2, an avian pathogenic <italic>E. coli</italic>	28496941
