pmid	year	count	title	otherid
5156798	2016	1	Aberrant Expression Profile of Long Noncoding RNA in Human Sinonasal Squamous Cell Carcinoma by Microarray Analysis	
5180413	2016	1	Tocotrienols induce endoplasmic reticulum stress and apoptosis in cervical cancer cells	28031751
5180247	2016	1	Sodium selenate regulates the brain ionome in a transgenic mouse model of Alzheimer&#x2019;s disease	28008954
5180174	2016	3	Low abundance of Archaeorhizomycetes among fungi in soil metatranscriptomes	28009005
5183126	2016	5	Network-based analysis of differentially expressed genes in cerebrospinal fluid (CSF) and blood reveals new candidate genes for multiple sclerosis	28028462
5182994	2016	1	Brain transcriptomes of harbor seals demonstrate gene expression patterns of animals undergoing a metabolic disease and a viral infection	28028481
5177929	2016	1	Deep sequencing of wheat sRNA transcriptome reveals distinct temporal expression pattern of miRNAs in response to heat, light and UV	28004741
5175157	2016	2	Identification of a TNF-&#x3B1; inducer MIC3 originating from the microneme of non-cystogenic, virulent <italic>Toxoplasma gondii</italic>	28000706
5181780	2016	1	Strain Prioritization and Genome Mining for Enediyne Natural Products	27999165
5172248	2016	2	Genome-wide Analysis of WD40 Protein Family in Human	27991561
5171943	2016	1	Transcriptomic profiling of microglia reveals signatures of cell activation and immune response, during experimental cerebral malaria	27991544
5168813	2016	1	Environmental and genetic effects on tomato seed metabolic balance and its association with germination vigor	27993127
5187914	2016	1	Systematic Understanding of Mechanisms of a Chinese Herbal Formula in Treatment of Metabolic Syndrome by an Integrated Pharmacology Approach	27999264
5159921	2016	1	Galectin-3 Induces a Pro-degradative/inflammatory Gene Signature in Human Chondrocytes, Teaming Up with Galectin-1 in Osteoarthritis Pathogenesis	27982117
5159906	2016	2	Unraveling gene expression profiles in peripheral motor nerve from amyotrophic lateral sclerosis patients: insights into pathogenesis	27982123
5159859	2016	2	Co-expression analysis and identification of fecundity-related long non-coding RNAs in sheep ovaries	27982099
5159821	2016	1	ARN: Analysis and Visualization System for Adipogenic Regulation Network Information	27982098
5159803	2016	2	Time Series miRNA-mRNA integrated analysis reveals critical miRNAs and targets in macrophage polarization	27981970
5157023	2016	1	Interactomic analysis of REST/NRSF and implications of its functional links with the transcription suppressor TRIM28 during neuronal differentiation	27976729
5157014	2016	1	Microcystin-Leucine Arginine Causes Cytotoxic Effects in Sertoli Cells Resulting in Reproductive Dysfunction in Male Mice	27976743
5156939	2016	1	Interstitial Cystitis-Associated Urinary Metabolites Identified by Mass-Spectrometry Based Metabolomics Analysis	27976711
5156693	2016	2	Crossing the Boundaries of Our Current Healthcare System by Integrating Ultra-Weak Photon Emissions with Metabolomics	28018239
5156680	2016	2	The Mutational Landscape of the Oncogenic MZF1 SCAN Domain in Cancer	28018905
5156380	2016	1	Transcriptional Orchestration of the Global Cellular Response of a Model Pennate Diatom to Diel Light Cycling under Iron Limitation	27973599
5155297	2016	6	Gene network analysis identifies rumen epithelial cell proliferation, differentiation and metabolic pathways perturbed by diet and correlated with methane production	27966600
5155245	2016	1	Comparative Proteomics Reveals that Phosphorylation of &#x3B2; Carbonic Anhydrase 1 Might be Important for Adaptation to Drought Stress in <italic>Brassica napus</italic>	27966654
5155218	2016	1	Salivary and pellicle proteome: A datamining analysis	27966577
5187886	2016	1	Estrogenic Endocrine Disrupting Chemicals Influencing NRF1 Regulated Gene Networks in the Development of Complex Human Brain Diseases	27983596
5156548	2016	1	Identifying Cell Type-Specific Transcription Factors by Integrating ChIP-seq and eQTL Data&#x2013;Application to Monocyte Gene Regulation	28008225
5154164	2016	8	Pathway collages: personalized multi-pathway diagrams	27964719
5153868	2016	2	Systematic analysis of the lysine acetylome in <italic>Fusarium graminearum</italic>	27964708
5153655	2016	1	Comparative Systems Analyses Reveal Molecular Signatures of Clinically tested Vaccine Adjuvants	27958370
5153652	2016	2	Effects of light attenuation on the sponge holobiont- implications for dredging management	27958345
