pmid	year	journal	title
27928960	2016	Curr. Pharm. Des.	Research Advances in Molecular Modeling in Cyclodextrins.
27853520	2016	F1000Res	dot-app: a Graphviz-Cytoscape conversion plug-in.
27777109	2016	Gene	In silico analysis of differential gene expressions in biliary stricture and hepatic carcinoma.
27729352	2016	BMJ Open	Evolution of primary care databases in UK: a scientometric analysis of research output.
27086506	2016	J. Proteome Res.	HiQuant: Rapid Postquantification Analysis of Large-Scale MS-Generated Proteomics Data.
27030797	2016	Chin Med	Analyzing the Chinese landscape in anti-diabetic drug research: leading knowledge production institutions and thematic communities.
26970371	2016	Acta Trop.	A web-based survey of horse owners' perceptions and network analysis of horse movements relating to African horse sickness distribution in Namibia and South Africa.
26924143	2016	Bratisl Lek Listy	Knowledge mapping analysis of Ebola research.
26863411	2016	ALTEX	Analysis of publically available skin sensitization data from REACH registrations 2008-2014.
26719978	2016	PLoS Negl Trop Dis	Using Co-authorship Networks to Map and Analyse Global Neglected Tropical Disease Research with an Affiliation to Germany.
26704067	2015	Int. J. Food Microbiol.	FoodMicrobionet: A database for the visualisation and exploration of food bacterial communities based on network analysis.
25602893	2015	Am J Public Health	When advocacy obscures accuracy online: digital pandemics of public health misinformation through an antifluoride case study.
25340971	2014	Faraday Discuss.	Allosteric pathway identification through network analysis: from molecular dynamics simulations to interactive 2D and 3D graphs.
25000497	2014	PLoS ONE	DyCoNet: a Gephi plugin for community detection in dynamic complex networks.
24987669	2014	Biomed Res Int	Clinic-genomic association mining for colorectal cancer using publicly available datasets.
24914678	2014	PLoS ONE	ForceAtlas2, a continuous graph layout algorithm for handy network visualization designed for the Gephi software.
27433520	2014	Int Sch Res Notices	A Computational Framework for Tracing the Origins of Genomic Islands in Prokaryotes.
25954579	2014	AMIA Jt Summits Transl Sci Proc	Visualizing and evaluating the growth of multi-institutional collaboration based on research network analysis.
20484371	2010	Nucleic Acids Res.	ToppCluster: a multiple gene list feature analyzer for comparative enrichment clustering and network-based dissection of biological systems.
