pmid	year	count	title	otherid
5159811	2016	1	Pan- and core- network analysis of co-expression genes in a model plant	27982071
5184379	2016	2	Analysis of ten years of publishing in Pharmacy Practice	
5156904	2016	2	Disentangling the influence of earthworms in sugarcane rhizosphere	27976685
5141286	2016	3	Increased DNA methylation variability in type 1 diabetes across three immune effector cell types	27898055
5125599	2016	1	Network Analysis Shows Asymmetrical Flows within a Bird Metapopulation	27893770
5124289	2016	1	MetaMIS: a metagenomic microbial interaction simulator based on microbial community profiles	27887570
5123577	2016	1	Habitat generalists and specialists in microbial communities across a terrestrial-freshwater gradient	27886241
5192952	2016	1	Using multiple traits to assess the potential of introduced and native vines to proliferate in a tropical region	28035272
5110519	2016	1	Impacts of Fertilization Regimes on Arbuscular Mycorrhizal Fungal (AMF) Community Composition Were Correlated with Organic Matter Composition in Maize Rhizosphere Soil	27899920
5172418	2016	1	A new<italic>Plasmodium vivax</italic> reference sequence with improved assembly of the subtelomeres reveals an abundance of<italic>pir </italic>genes	28008421
5102456	2016	1	Immunohistochemical Typing of Adenocarcinomas of the Pancreatobiliary System Improves Diagnosis and Prognostic Stratification	27829047
5101674	2016	1	Dengue research networks: building evidence for policy and planning in Brazil	27825383
5098112	2016	2	Systems Biomedicine of Rabies Delineates the Affected Signaling Pathways	27872612
5098432	2016	1	Abstracts from the 16th International Congress on Circumpolar Health	27829488
5133653	2016	1	Resting state functional network disruptions in a kainic acid model of temporal lobe epilepsy	27942449
5089999	2016	3	Listeners' and Performers' Shared Understanding of Jazz Improvisations	27853438
5082925	2016	2	Quantifying a Systems Map: Network Analysis of a Childhood Obesity Causal Loop Diagram	27788224
5094270	2016	3	Disruptions in cortico-subcortical covariance networks associated with anxiety in new-onset childhood epilepsy	27830114
5073882	2016	1	Side effect profile similarities shared between antidepressants and immune-modulators reveal potential novel targets for treating major depressive disorders	27765060
5090126	2016	3	Correlation-Based Network Generation, Visualization, and Analysis as a Powerful Tool in Biological Studies: A Case Study in Cancer Cell Metabolism	27840831
5063370	2016	1	Adapting Agriculture Platforms for Nutrition: A Case Study of a Participatory, Video-Based Agricultural Extension Platform in India	27736897
5061854	2016	1	Response of Core Microbial Consortia to Chronic Hydrocarbon Contaminations in Coastal Sediment Habitats	27790213
5073525	2016	2	Evolution of primary care databases in UK: a scientometric analysis of research output	27729352
5058496	2016	1	Research and Development of Hepatitis B Drugs: An Analysis Based on Technology Flows Measured by Patent Citations	27727319
5053609	2016	3	An Examination of Not-For-Profit Stakeholder Networks for Relationship Management: A Small-Scale Analysis on Social Media	27711236
5053151	2016	3	Blood transcriptomic diagnosis of pulmonary and extrapulmonary tuberculosis	27734027
5051930	2016	1	An Outcome-Weighted Network Model for Characterizing Collaboration	27706199
5036101	2016	2	Overland movement in African clawed frogs (<italic>Xenopus laevis</italic>): a systematic review	27688972
