pmid	year	journal	title
28023925	2011	J Clin Oncol	Mre11 as a biomarker of platinum resistance in epithelial ovarian cancer cell lines.
28021476	2011	J Clin Oncol	Final analysis of the NEOMET trial of neoadjuvant metformin: Examining effects on Ki67, gene expression, and pathway analysis in primary operable breast cancer.
28020624	2011	J Clin Oncol	Effect of neoadjuvant ixabepilone (ixa) on cell cycle genes and tumor-initiating cell (TIC) signature in breast cancer (BC).
28020544	2011	J Clin Oncol	High-resolution methylome analysis of renal cell carcinoma and identification of aberrant epigenetic changes in gene bodies.
28012239	2016	Proteomics Clin Appl	Secretion of pro-inflammatory cytokines and chemokines and loss of regulatory signals by fibroblast-like synoviocytes in juvenile idiopathic arthritis.
28003019	2016	BMC Cancer	Agonists and knockdown of estrogen receptor β differentially affect invasion of triple-negative breast cancer cells in vitro.
28002487	2016	PLoS One	Long-Term Transcriptomic Effects of Prebiotics and Synbiotics Delivered In Ovo in Broiler Chickens.
27999531	2016	Front Cell Neurosci	Ingenuity Pathway Analysis of Gene Expression Profiles in Distal Nerve Stump following Nerve Injury: Insights into Wallerian Degeneration.
27998058	2016	J Proteome Res	Label free neuroproteomics of the hippocampal-accumbal circuit reveals deficits in neurotransmitter and neuropeptide signaling in mice lacking ethanol sensitive adenosine transporter.
27995293	2016	Bull Environ Contam Toxicol	Comparative Analysis of Transcriptional Profile Changes in Larval Zebrafish Exposed to Zinc Oxide Nanoparticles and Zinc Sulfate.
27992366	2016	Oncotarget	Genome-wide analysis of differentially expressed lncRNAs and mRNAs in primary gonadotrophin adenomas by RNA-seq.
27986634	2016	Int J Biol Macromol	Novel interacting Proteins identified by Tandem Affinity Purification coupled to nano LC-MS/MS interact with Ribosomal S6 Protein Kinase 4 (RSK4) and its variant protein (RSK4m).
27983725	2016	Blood Cancer J	A gene expression inflammatory signature specifically predicts multiple myeloma evolution and patients survival.
27941074	2016	Am J Physiol Lung Cell Mol Physiol	Cartilage rings contribute to the proper embryonic tracheal epithelial differentiation, metabolism and expression of inflammatory genes.
