pmid	year	journal	title
28022092	2011	J. Clin. Oncol.	Gene expression profiling predicts nonresponders to chemoradiation in HPV16-positive head and neck squamous cell carcinoma.
28021976	2011	J. Clin. Oncol.	Pathway analysis of primary human non-small cell lung cancer (NSCLC).
27924190	2016	Comput Struct Biotechnol J	Network analysis of human post-mortem microarrays reveals novel genes, microRNAs, and mechanistic scenarios of potential importance in fighting huntington's disease.
27859320	2016	Ann. N. Y. Acad. Sci.	Advanced literature analysis in a Big Data world.
27857161	2016	Sci Rep	Gene expression profiling of breast cancer in Lebanese women.
27653868	2016	J. Neurol. Sci.	Biomarkers of migraine: Part 1 - Genetic markers.
27536272	2016	Front Microbiol	Differential Biphasic Transcriptional Host Response Associated with Coevolution of Hemagglutinin Quasispecies of Influenza A Virus.
27497640	2016	J Ethnopharmacol	The effects of Qi Teng Xiao Zhuo granules, traditional Chinese medicine, on the expression of genes in chronic glomerulonephritis rats.
27328024	2016	Mol. Cell. Endocrinol.	Forkhead box O member FOXO1 regulates the majority of follicle-stimulating hormone responsive genes in ovarian granulosa cells.
27269583	2016	Expert Rev Proteomics	Searching the literature for proteins facilitates the identification of biological processes, if advanced methods of analysis are linked: a case study on microgravity-caused changes in cells.
27233742	2016	J Proteomics	Maternal alterations in the proteome of the medial prefrontal cortex in rat.
27070589	2016	Int J Mol Sci	Pathways Regulating Spheroid Formation of Human Follicular Thyroid Cancer Cells under Simulated Microgravity Conditions: A Genetic Approach.
26884679	2016	Cancer Inform	Toward Signaling-Driven Biomarkers Immune to Normal Tissue Contamination.
26784894	2016	PLoS ONE	Network Topology Analysis of Post-Mortem Brain Microarrays Identifies More Alzheimer's Related Genes and MicroRNAs and Points to Novel Routes for Fighting with the Disease.
26633361	2015	Int J Mol Sci	The Importance of Caveolin-1 as Key-Regulator of Three-Dimensional Growth in Thyroid Cancer Cells Cultured under Real and Simulated Microgravity Conditions.
26279084	2015	J. Proteome Res.	Bioinformatics Annotation of Human Y Chromosome-Encoded Protein Pathways and Interactions.
26042666	2015	PLoS ONE	Putative regulatory factors associated with intramuscular fat content.
26020309	2015	J. Anim. Sci.	Transcript profiles in longissimus dorsi muscle and subcutaneous adipose tissue: a comparison of pigs with different postweaning growth rates.
26010865	2015	PLoS ONE	Genome-wide transcriptome directed pathway analysis of maternal pre-eclampsia susceptibility genes.
25924610	2015	BMC Res Notes	Transcriptional profiling of PRKG2-null growth plate identifies putative down-stream targets of PRKG2.
25886259	2015	Proteomics	Proteomic analysis of fetal programming-related obesity markers.
25881313	2015	BMC Syst Biol	ANDSystem: an Associative Network Discovery System for automated literature mining in the field of biology.
25879409	2015	BMC Syst Biol	Molecular association of pathogenetic contributors to pre-eclampsia (pre-eclampsia associome).
25683910	2015	Cell. Signal.	Cellular processes involved in human epidermal cells exposed to extremely low frequency electric fields.
25330896	2014	J. Proteome Res.	Hg-responsive proteins identified in wheat seedlings using iTRAQ analysis and the role of ABA in Hg stress.
25315394	2014	BMC Genomics	A comprehensive proteomic approach to identifying capacitation related proteins in boar spermatozoa.
25229777	2014	PLoS ONE	Gene expression and pathway analysis of effects of the CMAH deactivation on mouse lung, kidney and heart.
25223855	2014	J. Proteome Res.	Diagnosis and prognosis of male infertility in mammal: the focusing of tyrosine phosphorylation and phosphotyrosine proteins.
25149502	2014	BMC Med Genomics	Biological network inferences for a protection mechanism against familial Creutzfeldt-Jakob disease with E200K pathogenic mutation.
24989895	2014	BMC Med Genomics	Novel application of multi-stimuli network inference to synovial fibroblasts of rheumatoid arthritis patients.
24877140	2014	Biomed Res Int	Calcium influx and male fertility in the context of the sperm proteome: an update.
24690414	2014	Arthritis Res. Ther.	Identification of rheumatoid arthritis and osteoarthritis patients by transcriptome-based rule set generation.
24673814	2014	Asia Pac J Clin Oncol	Potential molecular signatures in epithelial ovarian cancer by genome wide expression profiling.
24595241	2014	Int J Mol Sci	Comparative transcriptional profiling of three super-hybrid rice combinations.
24275941	2013	Funct. Integr. Genomics	Genome-wide identification and expression analysis of the mitogen-activated protein kinase gene family from banana suggest involvement of specific members in different stages of fruit ripening.
24099273	2013	Nutr Cancer	Identification of potential target genes of butyrate in dimethylhydrazine-induced colorectal cancer in mice.
24012219	2013	Int. J. Pediatr. Otorhinolaryngol.	Microarray analysis of gene expression alteration in human middle ear epithelial cells induced by micro particle.
23961958	2013	BMC Infect. Dis.	Proteomic analysis of extremely severe hand, foot and mouth disease infected by enterovirus 71.
23562747	2013	Mol. Cell. Endocrinol.	Leptin-cytokine crosstalk in breast cancer.
23504501	2013	Carcinogenesis	Discovery of potential targets of selenomethionine-mediated chemoprevention in colorectal carcinoma mouse model using proteomics analysis.
26317099	2013	Neurosci J	Gene Network Analysis in Amygdala following Taste Aversion Learning in Rats.
24688734	2013	Comput Struct Biotechnol J	A network view on Parkinson's disease.
22944462	2012	Cytokine	Microbial cell components induced tolerance to flagellin-stimulated inflammation through Toll-like receptor pathways in intestinal epithelial cells.
22926964	2012	Yeast	Overexpression of genes of the fatty acid biosynthetic pathway leads to accumulation of sterols in Saccharomyces cerevisiae.
22850470	2012	Reprod Biol	Microarray profiling of secretory-phase endometrium from patients with recurrent miscarriage.
22736935	2012	Mol. Vis.	Evaluation of gene expression profiles and pathways underlying postnatal development in mouse sclera.
22576057	2012	Genomics	Transcriptome analysis reveals critical genes and key pathways for early cotton fiber elongation in Ligon lintless-1 mutant.
22487523	2012	Pancreatology	Invasive markers identified by gene expression profiling in pancreatic cancer.
22326768	2012	Artif Intell Med	Pathway-based identification of a smoking associated 6-gene signature predictive of lung cancer risk and survival.
22301196	2012	J Biomed Inform	Transforming semi-structured life science diagrams into meaningful domain ontologies with DiDOn.
22272227	2012	PLoS ONE	Identification of a potential ovarian cancer stem cell gene expression profile from advanced stage papillary serous ovarian cancer.
22178533	2011	Eur J Pharm Sci	Microarray analysis revealed dysregulation of multiple genes associated with chemoresistance to As(2)O(3) and increased tumor aggressiveness in a newly established arsenic-resistant ovarian cancer cell line, OVCAR-3/AsR.
22021908	2011	Carcinogenesis	Identification of the common regulators for hepatocellular carcinoma induced by hepatitis B virus X antigen in a mouse model.
22008206	2011	Mol. Cell Proteomics	Proteome analysis during chondrocyte differentiation in a new chondrogenesis model using human umbilical cord stroma mesenchymal stem cells.
21857934	2011	PLoS ONE	Calcium prevents tumorigenesis in a mouse model of colorectal cancer.
21857521	2011	Eur. J. Cancer Prev.	Ginkgo may prevent genetic-associated ovarian cancer risk: multiple biomarkers and anticancer pathways induced by ginkgolide B in BRCA1-mutant ovarian epithelial cells.
21711528	2011	Proteome Sci	Analysis of EGFR signaling pathway in nasopharyngeal carcinoma cells by quantitative phosphoproteomics.
21569507	2011	Arthritis Res. Ther.	Identification of new autoantibody specificities directed at proteins involved in the transforming growth factor β pathway in patients with systemic sclerosis.
21394739	2011	Prostate	TMPRSS2/ERG fusion gene expression alters chemo- and radio-responsiveness in cell culture models of androgen independent prostate cancer.
21272652	2011	Fish Shellfish Immunol.	Activation of cytokine expression occurs through the TNFα/NF-κB-mediated pathway in birnavirus-infected cells.
21136955	2010	Proteomics Clin Appl	Comparative proteomic analysis to discover potential therapeutic targets in human multiple myeloma.
25984394	2010	Proceedings (IEEE Int Conf Bioinformatics Biomed)	Network-Based Identification of Smoking-Associated Gene Signature for Lung Cancer.
21096084	2010	Conf Proc IEEE Eng Med Biol Soc	Construction of signaling pathways and identification of drug effects on the liver cancer cell HepG2.
20973258	2010	Int. J. Gynecol. Cancer	Gene expression profiling and cancer-related pathways in type I endometrial carcinoma.
20926982	2010	Shock	Pathway analysis in microarray data: a comparison of two different pathway analysis devices in the same data set.
20861532	2010	J Integr Bioinform	Analysis and construction of pathogenicity island regulatory pathways in Salmonella enterica serovar Typhi.
20663702	2010	Mol. Genet. Metab.	Pathway analysis software: annotation errors and solutions.
20650822	2010	Hum. Genomics	A survey of current software for network analysis in molecular biology.
20556864	2010	J Bioinform Comput Biol	Computational approaches for drug repositioning and combination therapy design.
20001709	2009	Biomarkers	Cytokine array analysis of peritoneal fluid between women with endometriosis of different stages and those without endometriosis.
19965878	2009	Bioinformatics	The Gene Interaction Miner: a new tool for data mining contextual information for protein-protein interaction analysis.
23480468	2009	Expert Opin Drug Discov	Ariadne's ChemEffect and Pathway Studio knowledge base.
19710940	2009	Mol. Vis.	Proteome analysis of biomarkers in the cerebrospinal fluid of neuromyelitis optica patients.
19607655	2009	BMC Genomics	The transcriptional response of Pasteurella multocida to three classes of antibiotics.
19615118	2009	BMC Proc	Methods for interpreting lists of affected genes obtained in a DNA microarray experiment.
19615111	2009	BMC Proc	Pathway results from the chicken data set using GOTM, Pathway Studio and Ingenuity softwares.
19444643	2009	Mol. Biol. Rep.	Proteome analysis of haptoglobin in cerebrospinal fluid of neuromyelitis optica.
19209238	2009	Mol. Med.	Comparative mitochondrial proteomic analysis of Rji cells exposed to adriamycin.
19131553	2009	Blood	Gene expression profiling of ATL patients: compilation of disease-related genes and evidence for TCF4 involvement in BIRC5 gene expression and cell viability.
18491321	2008	Proteomics	Quantitative analysis of Streptococcus pneumoniae TIGR4 response to in vitro iron restriction by 2-D LC ESI MS/MS.
18384105	2008	Proteomics	Investigating copper-regulated protein expression in Menkes fibroblasts using antibody microarrays.
17720984	2007	Bioinformatics	Tools for visually exploring biological networks.
17298298	2007	Expert Opin. Ther. Targets	Pathway analysis software as a tool for drug target selection, prioritization and validation of drug mechanism.
14594725	2003	Bioinformatics	Pathway studio--the analysis and navigation of molecular networks.
