pmid	year	count	title	otherid
5118702	2016	3	Neuroproteomics and Systems Biology Approach to Identify Temporal Biomarker Changes Post Experimental Traumatic Brain Injury in Rats	27920753
5117493	2016	6	Proteomic identification of cryostress in epididymal spermatozoa	27895910
5115663	2016	1	Characterizing Transcriptional Networks in Male Rainbow Darter (<italic>Etheostoma caeruleum</italic>) that Regulate Testis Development over a Complete Reproductive Cycle	27861489
5114572	2016	3	Gene expression profiling of breast cancer in Lebanese women	27857161
5104406	2016	1	Identification of Potential Novel Biomarkers and Signaling Pathways Related to Otitis Media Induced by Diesel Exhaust Particles Using Transcriptomic Analysis in an <italic>In Vivo</italic> System	27832168
5133490	2016	6	A variance component method for integrated pathway analysis of gene expression data	27980659
5065984	2016	1	Deciphering the Role of <italic>Emx1</italic> in Neurogenesis: A Neuroproteomics Approach	27799894
5082287	2016	5	Characterisation of equine satellite cell transcriptomic profile response to<italic>&#x3B2;</italic>-hydroxy-<italic>&#x3B2;</italic>-methylbutyrate (HMB)	27691998
5038970	2016	1	A Population-Based Study of Four Genes Associated with Heroin Addiction in Han Chinese	27676367
4995625	2016	3	Lymphocytic, cytokine and transcriptomic profiles in peripheral blood of dogs with atopic dermatitis	27553600
4977886	2016	10	A novel approach to assessing bisphenol-A hazards using an <italic>in vitro</italic> model system	27507061
4971777	2016	3	Differential Biphasic Transcriptional Host Response Associated with Coevolution of Hemagglutinin Quasispecies of Influenza A Virus	27536272
4959372	2016	1	Abstracts from the 3rd International Genomic Medicine Conference (3rd IGMC 2015)	27454254
4951121	2016	3	Isolation, Characterization, Cryopreservation of Human Amniotic Stem Cells and Differentiation to Osteogenic and Adipogenic Cells	27434028
4920420	2016	1	Genomic Characteristics of Genetic Creutzfeldt-Jakob Disease Patients with V180I Mutation and Associations with Other Neurodegenerative Disorders	27341347
4905960	2016	2	Downregulation of <italic>GSTK1</italic> Is a Common Mechanism Underlying Hypertrophic Cardiomyopathy	27378925
4900611	2016	3	HCV-Mediated Apoptosis of Hepatocytes in Culture and Viral Pathogenesis	27280444
4957589	2016	1	Common pathway signature in lung and liver fibrosis	27267766
4932659	2016	1	Integration and Visualization of Translational Medicine Data for Better Understanding of Human Diseases	27441714
4882535	2016	3	Identifications of novel mechanisms in breast cancer cells involving duct-like multicellular spheroid formation after exposure to the Random Positioning Machine	27230828
4882522	2016	3	Transcriptome analysis of human ageing in male skin shows mid-life period of variability and central role of NF-&#x3BA;B	27229172
4867619	2016	2	Sepsis in preterm infants causes alterations in mucosal gene expression and microbiota profiles compared to non-septic twins	27180802
5099363	2016	3	The Comparatively Proteomic Analysis in Response to Cold Stress in Cassava Plantlets	27881899
4871842	2016	1	Functional Profiling of Human MeCP2 by Automated Data Comparison Analysis and Computerized Expression Pathway Modeling	27200222
4882353	2016	2	The effect of palmitate supplementation on gene expression profile in proliferating myoblasts	27114085
4833297	2016	2	The Effect of Chronic Methamphetamine Exposure on the Hippocampal and Olfactory Bulb Neuroproteomes of Rats	27082425
4848984	2016	3	Pathways Regulating Spheroid Formation of Human Follicular Thyroid Cancer Cells under Simulated Microgravity Conditions: A Genetic Approach	27070589
4816509	2016	5	Addition of Cryoprotectant Significantly Alters the Epididymal Sperm Proteome	27031703
4811587	2016	3	Domestication Syndrome Is Investigated by Proteomic Analysis between Cultivated Cassava (<italic>Manihot esculenta</italic> Crantz) and Its Wild Relatives	27023871
4959553	2016	3	Transcriptomic profile adaptations following exposure of equine satellite cells to nutriactive phytochemical gamma-oryzanol	27482297
5003998	2016	1	Discovery of Gene Sources for Economic Traits in Hanwoo by Whole-genome Resequencing	26954201
4809649	2016	2	Transcriptional profiling of breast cancer cells in response to mevinolin: Evidence of cell cycle arrest, DNA degradation and apoptosis	26983896
4777418	2016	5	Combined Use of Gene Expression Modeling and siRNA Screening Identifies Genes and Pathways Which Enhance the Activity of Cisplatin When Added at No Effect Levels to Non-Small Cell Lung Cancer Cells <italic>In Vitro</italic>	26938915
4761173	2016	2	Molecular foundations of chilling-tolerance of modern maize	26897027
4761131	2016	1	Phytohormone balance and stress-related cellular responses are involved in the transition from bud to shoot growth in leafy spurge	26897527
4752512	2016	6	Gene Regulatory Network Inference of Immunoresponsive Gene 1 (<italic>IRG1</italic>) Identifies Interferon Regulatory Factor 1 (<italic>IRF1</italic>) as Its Transcriptional Regulator in Mammalian Macrophages	26872335
5128196	2016	7	Network analysis of human post-mortem microarrays reveals novel genes, microRNAs, and mechanistic scenarios of potential importance in fighting huntington's disease	27924190
4750896	2016	1	Toward Signaling-Driven Biomarkers Immune to Normal Tissue Contamination	26884679
4905465	2016	2	Distinct lymphocyte antigens 6 (Ly6) family members Ly6D, Ly6E, Ly6K and Ly6H drive tumorigenesis and clinical outcome	26862846
4895284	2016	1	Pathway-based analyses	26867108
4742855	2016	1	Liver-derived ketone bodies are necessary for food anticipation	26838474
