pmid	year	count	title	otherid
5424488	2017	3	Skeletal Muscle Cell Induction from Pluripotent Stem Cells	28529527
5437538	2017	1	Gene expression of <italic>Vibrio parahaemolyticus</italic> growing in laboratory isolation conditions compared to those common in its natural ocean environment	28525966
5437520	2017	12	The adaptation of colorectal cancer cells when forming metastases in the liver: expression of associated genes and pathways in a mouse model	28525976
5437544	2017	5	OrthoFiller: utilising data from multiple species to improve the completeness of genome annotations	28521726
5437024	2017	5	Proteome remodelling by the stress sigma factor RpoS/&#x3C3;<sup>S</sup> in <italic>Salmonella</italic>: identification of small proteins and evidence for post-transcriptional regulation	28522802
5437009	2017	2	Involvement of FAK-ERK2 signaling pathway in CKAP2-induced proliferation and motility in cervical carcinoma cell lines	28522860
5436462	2017	89	Functional regression method for whole genome eQTL epistasis analysis with sequencing data	28521784
5436443	2017	7	<italic>Drosophila melanogaster</italic> positive transcriptional elongation factors regulate metabolic and sex-biased expression in adults	28521739
5436453	2017	5	Histone demethylases UTX and JMJD3 are required for NKT cell development in mice	28529687
5436438	2017	3	Clinical applications of PD-L1 bioassays for cancer immunotherapy	28514966
5435735	2017	3	Comparative transcriptome analysis of <italic>Rimicaris</italic> sp. reveals novel molecular features associated with survival in deep-sea hydrothermal vent	28515421
5435713	2017	1	Validation of reference genes for the normalization of the RT-qPCR gene expression of virulence genes of <italic>Erwinia amylovora</italic> in apple shoots	28515453
5434568	2017	1	Ethephon induced oxidative stress in the olive leaf abscission zone enables development of a selective abscission compound	28511694
5434071	2017	3	Phenotypic plasticity, trade-offs and gene expression changes accompanying dietary restriction and switches in <italic>Bactrocera dorsalis</italic> (Hendel) (Diptera: Tephritidae)	28512316
5434060	2017	4	Global gene expression analysis provides insight into local adaptation to geothermal streams in tadpoles of the Andean toad <italic>Rhinella spinulosa</italic>	28512324
5432999	2017	2	Production of a recombinant swollenin from <italic>Trichoderma harzianum</italic> in <italic>Escherichia coli</italic> and its potential synergistic role in biomass degradation	28511724
5433140	2017	3	A computational approach for the functional classification of the epigenome	28515787
5433093	2017	18	Genome-wide identification of lncRNAs associated with chlorantraniliprole resistance in diamondback moth <italic>Plutella xylostella</italic> (L.)	28506253
5433054	2017	15	Genomic imprinting does not reduce the dosage of UBE3A in neurons	28515788
5433025	2017	23	The midgut transcriptome of <italic>Aedes aegypti</italic> fed with saline or protein meals containing chikungunya virus reveals genes potentially involved in viral midgut escape	28506207
5432505	2017	7	Identification and comparative analysis of the ovarian microRNAs of prolific and non-prolific goats during the follicular phase using high-throughput sequencing	28507337
5431921	2017	5	Transcriptome sequencing and phylogenetic analysis of four species of luminescent beetles	28500331
5431833	2017	2	The mitochondrial genomes of the acoelomorph worms <italic>Paratomella rubra, Isodiametra pulchra and Archaphanostoma ylvae</italic>	28500313
