pmid	year	journal	title
28451378	2017	Cell Biosci	Plant genome editing with TALEN and CRISPR.
28362803	2017	PLoS ONE	PCR artifact in testing for homologous recombination in genomic editing in zebrafish.
28360929	2017	Plant Methods	TALEN-mediated genome-editing approaches in the liverwort Marchantia polymorpha yield high efficiencies for targeted mutagenesis.
28261237	2017	Front Plant Sci	Progress in Genome Editing Technology and Its Application in Plants.
28179977	2017	Comput Struct Biotechnol J	Programmable Genome Editing Tools and their Regulation for Efficient Genome Engineering.
28167937	2017	Front Microbiol	Antiviral Defenses in Plants through Genome Editing.
28131278	2017	Mol Ther Nucleic Acids	Reactivating Fetal Hemoglobin Expression in Human Adult Erythroblasts Through BCL11A Knockdown Using Targeted Endonucleases.
28129851	2017	Methods Cell Biol.	Small teleost fish provide new insights into human skeletal diseases.
28128770	2017	J Huntingtons Dis	Modern Genome Editing Technologies in Huntington's Disease Research.
28018102	2016	World J. Gastroenterol.	Apolipoprotein B100 is required for hepatitis C infectivity and Mipomersen inhibits hepatitis C.
28002927	2016	Asian-australas. J. Anim. Sci.	Human lactoferrin efficiently targeted into caprine beta-lactoglobulin locus with TALENs.
27990003	2016	Biosci Trends	Current status of genome editing in vector mosquitoes: A review.
27987038	2016	Pflugers Arch.	Efficient genome editing of differentiated renal epithelial cells.
27984622	2016	Zhonghua Yi Xue Yi Chuan Xue Za Zhi	[Applications of ZFN, TALEN and CRISPR/Cas9 techniques in disease modeling and gene therapy].
27981894	2016	RNA Biol	Knockout of miR-221 and miR-222 reveals common and specific targets for paralogous miRNAs.
27975310	2016	Methods Mol. Biol.	A T7 Endonuclease I Assay to Detect Talen-Mediated Targeted Mutation of HBV cccDNA.
27943242	2016	Biotechnol. Bioeng.	Knockout of a difficult-to-remove CHO host cell protein, lipoprotein lipase, for improved polysorbate stability in monoclonal antibody formulations.
27916442	2016	J Genet Genomics	A highly efficient method for enriching TALEN or CRISPR/Cas9-edited mutant cells.
27910041	2016	Methods Mol. Biol.	Efficient Genome Editing in Induced Pluripotent Stem Cells with Engineered Nucleases In Vitro.
27905217	2016	Regen Med	To CRISPR and beyond: the evolution of genome editing in stem cells.
27888407	2016	Arch. Virol.	Targeting the rhesus macaque TRIM5α gene to enhance the susceptibility of CD4(+) T cells to HIV-1 infection.
27883072	2016	Sci Rep	Non-RVD mutations that enhance the dynamics of the TAL repeat array along the superhelical axis improve TALEN genome editing efficacy.
27876832	2016	Sci Rep	Knockout of Zebrafish Ovarian Aromatase Gene (cyp19a1a) by TALEN and CRISPR/Cas9 Leads to All-male Offspring Due to Failed Ovarian Differentiation.
27845165	2016	J. Biotechnol.	Applications of genome editing by programmable nucleases to the metabolic engineering of secondary metabolites.
27836965	2016	Development	Exon- and contraction-dependent functions of titin in sarcomere assembly.
27826306	2016	Front Plant Sci	Transcription Activator-Like Effector Nucleases (TALEN)-Mediated Targeted DNA Insertion in Potato Plants.
27821126	2016	Reprod. Biol. Endocrinol.	Efficient generation of GGTA1-null Diannan miniature pigs using TALENs combined with somatic cell nuclear transfer.
27819301	2016	Sci Rep	TALEN-mediated knock-in via non-homologous end joining in the crustacean Daphnia magna.
27818495	2016	Mol. Ther.	Corrigendum to &quot;Inducible HGF-secreting Human Umbilical Cord Blood-derived MSCs Produced via TALEN-mediated Genome Editing Promoted Angiogenesis&quot;.
27811851	2016	Leukemia	Establishment of a congenital amegakaryocytic thrombocytopenia model and a thrombocyte-specific reporter line in zebrafish.
