pmid	year	count	title	otherid
5154164	2016	1	Pathway collages: personalized multi-pathway diagrams	27964719
5120462	2016	1	Bridging the gap between clinicians and systems biologists: from network biology to translational biomedical research	27876057
5089131	2016	1	CoNet app: inference of biological association networks using Cytoscape	27853510
5085749	2016	1	Rack1 Mediates the Interaction of P-Glycoprotein with Anxa2 and Regulates Migration and Invasion of Multidrug-Resistant Breast Cancer Cells	27754360
5064015	2016	3	Comprehensive functional analysis of the <italic>tousled-like kinase 2</italic> frequently amplified in aggressive luminal breast cancers	27694828
4967295	2016	2	A network based approach to drug repositioning identifies plausible candidates for breast cancer and prostate cancer	27475327
5075487	2016	1	Facteurs pr&#xE9;dictifs de descellement aseptique des proth&#xE8;ses totales ciment&#xE9;es de la hanche	27800113
5072864	2016	1	Ev&#xE9;nements ind&#xE9;sirables perop&#xE9;ratoire: lecture critique du registre du bloc op&#xE9;ratoire de l&#x2019;h&#xF4;pital militaire Moulay Ismail Mekn&#xE8;s	27795775
5072861	2016	1	Lymphome B &#xE0; grandes cellules primitif du m&#xE9;diastin chez la femme: &#xE0; propos de cinq cas	27795778
4922371	2016	1	Les nouveaux crit&#xE8;res de la Maladie d&#x2019;Alzheimer &#x2013; Perspective g&#xE9;riatrique<xref ref-type="author-notes" rid="fn1-cgj-19-74"><sup>*</sup></xref>	27403215
5072819	2016	2	D&#xE9;pigmentation cutan&#xE9;e cosm&#xE9;tique des femmes noires: r&#xE9;sultats d&#x2019;une enqu&#xEA;te CAP &#xE0; Abidjan (C&#xF4;te d&#x2019;Ivoire)	27795757
4916594	2016	3	Identification of Tissue-Specific Protein-Coding and Noncoding Transcripts across 14 Human Tissues Using RNA-seq	27329541
5039919	2016	2	Web-based network analysis and visualization using CellMaps	27296979
4892488	2016	5	Gene Co-Expression Network Analysis for Identifying Modules and Functionally Enriched Pathways in Type 1 Diabetes	27257970
4891926	2016	3	Pathways and gene networks mediating the regulatory effects of cannabidiol, a nonpsychoactive cannabinoid, in autoimmune T cells	27256343
5002968	2016	1	Two-Way Gene Interaction From Microarray Data Based on Correlation Methods	27621916
5012792	2016	1	Formes h&#xE9;morragiques graves de la fi&#xE8;vre de la vall&#xE9;e du Rift: &#xE0; propos de 5 cas	27642413
4893679	2016	3	Stereotypical Metabolic Response to Endoscopic Retrograde Cholangiopancreatography Show Alterations in Pancreatic Function Regardless of Post-Procedure Pancreatitis	27148850
4937518	2016	1	Global Membrane Protein Interactome Analysis using <italic>In vivo</italic> Crosslinking and Mass Spectrometry-based Protein Correlation Profiling<xref ref-type="fn" rid="FN1">*</xref><xref ref-type="fn" rid="FN2"><sup><inline-graphic xlink:href="sbox.jpg"/></sup></xref>	27114452
4833320	2016	50	Visualization of Metabolic Interaction Networks in Microbial Communities Using VisANT 5.0	27081850
4829662	2016	2	Large-scale production of megakaryocytes from human pluripotent stem cells by chemically defined forward programming	27052461
5042180	2016	1	Transcriptome analysis reveals a comprehensive insect resistance response mechanism in cotton to infestation by the phloem feeding insect <italic>Bemisia tabaci</italic> (whitefly)	26923339
4885721	2016	1	Profil infectieux et mortalit&#xE9; des enfants &#xE2;g&#xE9;s de 0 &#xE0; 5 ans admis pour malnutrition aigu&#xEB; s&#xE9;v&#xE8;re: &#xE9;tude de cohorte r&#xE9;trospective au Centre Nutritionnel et Th&#xE9;rapeutique de Bukavu, R&#xE9;publique D&#xE9;mocratique du Congo	27279964
4885716	2016	1	Une &#xE9;tude r&#xE9;trospective sur l'incidence de l'insuffisance r&#xE9;nale chronique dans le service de M&#xE9;decine Interne et N&#xE9;phrologie du Centre Hospitalier Universitaire d'Antananarivo	27279966
4802825	2016	2	Urinary proteomics and metabolomics studies to monitor bladder health and urological diseases	27000794
4885702	2016	1	Les facteurs pr&#xE9;dictifs de malignit&#xE9; dans la prise en charge des tumeurs parotidiennes: &#xE0; propos de 76 cas	27279939
4898286	2016	1	Facteurs pr&#xE9;dictifs de succ&#xE8;s des &#xE9;tudiants en premi&#xE8;re ann&#xE9;e de m&#xE9;decine &#xE0; l'universit&#xE9; de Parakou	27313819
4789650	2016	16	Rationalising the role of Keratin 9 as a biomarker for Alzheimer&#x2019;s disease	26973255
4786822	2016	2	miR-434-3p and DNA hypomethylation co-regulate eIF5A1 to increase AChRs and to improve plasticity in SCT rat skeletal muscle	26964899
4731015	2016	3	Gene co-expression networks shed light into diseases of brain iron accumulation	26707700
4862802	2016	2	Epilepsies et crises &#xE9;pileptiques aigu&#xEB;s chez l'enfant en Afrique subsaharienne: d&#xE9;fis et espoirs	27217883
