pmid	year	count	title	otherid
5203720	2016	1	The gut microbiota in conventional and serrated precursors of colorectal cancer	
5180091	2016	1	Driver gene classification reveals a substantial overrepresentation of tumor suppressors among very large chromatin-regulating proteins	28008934
5168876	2016	2	Efficient randomization of biological networks while preserving functional characterization of individual nodes	27998275
5168813	2016	1	Environmental and genetic effects on tomato seed metabolic balance and its association with germination vigor	27993127
5154134	2016	1	XGR software for enhanced interpretation of genomic summary data, illustrated by application to immunological traits	27964755
5147790	2016	1	Novel and Lost Forests in the Upper Midwestern United States, from New Estimates of Settlement-Era Composition, Stem Density, and Biomass	27935944
5138592	2016	1	Identification of critical paralog groups with indispensable roles in the regulation of signaling flow	27922122
5135045	2016	1	High Interannual Variability in Connectivity and Genetic Pool of a Temperate Clingfish Matches Oceanographic Transport Predictions	27911952
5131443	2016	1	Differential variation patterns between hubs and bottlenecks in human protein-protein interaction networks	27903259
5127045	2016	1	Prediction of reacting atoms for the major biotransformation reactions of organic xenobiotics	27994650
5122881	2016	2	Exploring the molecular basis of age-related disease comorbidities using a multi-omics graphical model	27886242
5122841	2016	6	Hydrocarbon degraders establish at the costs of microbial richness, abundance and keystone taxa after crude oil contamination in permafrost environments	27886221
5118793	2016	1	Exploring Spatio-temporal Dynamics of Cellular Automata for Pattern Recognition in Networks	27874024
5115672	2016	1	Networks Depicting the Fine-Scale Co-Occurrences of Fungi in Soil Horizons	27861486
5112851	2016	1	Markov Networks of Collateral Resistance: National Antimicrobial Resistance Monitoring System Surveillance Results from <italic>Escherichia coli</italic> Isolates, 2004-2012	27851767
5110968	2016	1	Investigating the effect of AS03 adjuvant on the plasma cell repertoire following pH1N1 influenza vaccination	27849037
5102697	2016	3	A wavelet-based estimator of the degrees of freedom in denoised fMRI time series for probabilistic testing of functional connectivity and brain graphs	25944610
5109843	2016	1	SABRE: a method for assessing the stability of gene modules in complex tissues and subject populations	27842512
5104335	2016	1	Transcriptome Dynamics and Potential Roles of <italic>Sox6</italic> in the Postnatal Heart	27832192
5102890	2016	3	A Monte Carlo Evaluation of Weighted Community Detection Algorithms	27891087
5101353	2016	2	Role of the ESCRT Complexes in Telomere Biology	27834202
5099911	2016	1	A Comprehensive Characterization of the Function of LincRNAs in Transcriptional Regulation Through Long-Range Chromatin Interactions	27824113
5022708	2016	1	EvolQG - An R package for evolutionary quantitative genetics	27785352
5098112	2016	1	Systems Biomedicine of Rabies Delineates the Affected Signaling Pathways	27872612
5097351	2016	1	Co-expression network analysis of duplicate genes in maize (<italic>Zea mays</italic> L.) reveals no subgenome bias	27814670
5094027	2016	1	Dual functions of the <italic>ZmCCT</italic>-associated quantitative trait locus in flowering and stress responses under long-day conditions	27809780
4955027	2016	4	Bioconductor Workflow for Microbiome Data Analysis: from raw reads to community analyses	27508062
5112579	2016	1	A step-by-step workflow for low-level analysis of single-cell RNA-seq data with Bioconductor	27909575
5094293	2016	1	Reconstructing contact network parameters from viral phylogenies	27818787
5088520	2016	4	Path2enet: generation of human pathway-derived networks in an expression specific context	27801297
5079116	2016	1	Single-Cell Transcriptional Analysis Reveals Novel Neuronal Phenotypes and Interaction Networks Involved in the Central Circadian Clock	27826225
5093649	2016	1	Funding for cerebral palsy research in Australia, 2000&#x2013;2015: an observational study	27798026
5074511	2016	1	Dissecting the Origin of Breast Cancer Subtype Stem Cell and the Potential Mechanism of Malignant Transformation	27768723
5071865	2016	2	Widespread occurrence of lysine methylation in <italic>Plasmodium falciparum</italic> proteins at asexual blood stages	27762281
5090126	2016	3	Correlation-Based Network Generation, Visualization, and Analysis as a Powerful Tool in Biological Studies: A Case Study in Cancer Cell Metabolism	27840831
5075777	2016	1	A network property necessary for concentration robustness	27759015
5070769	2016	1	Combined Use of Genome-Wide Association Data and Correlation Networks Unravels Key Regulators of Primary Metabolism in <italic>Arabidopsis thaliana</italic>	27760136
5062835	2016	1	Forging a link between mentoring and collaboration: a new training model for implementation science	27737693
5061854	2016	1	Response of Core Microbial Consortia to Chronic Hydrocarbon Contaminations in Coastal Sediment Habitats	27790213
5055083	2016	1	Functional Metabolomics Describes the Yeast Biosynthetic Regulome	27693354
5049800	2016	1	Influence of Endogenous and Exogenous Estrogenic Endocrine on Intestinal Microbiota in Zebrafish	27701432
5045612	2016	1	Topological analysis of metabolic networks integrating co-segregating transcriptomes and metabolomes in type 2 diabetic rat congenic series	27716393
5043177	2016	1	Social Network Analysis Reveals Potential Fission-Fusion Behavior in a Shark	27686155
5043526	2016	1	EpiMINE, a computational program for mining epigenomic data	27708717
5110243	2016	3	Differences and similarities between human and chimpanzee neural progenitors during cerebral cortex development	27669147
5035442	2016	1	Nested coevolutionary networks shape the ecological relationships of ticks, hosts, and the Lyme disease bacteria of the <italic>Borrelia burgdorferi</italic> (<italic>s.l.</italic>) complex	27662832
5025661	2016	1	The <italic>Tara</italic> Oceans voyage reveals global diversity and distribution patterns of marine planktonic ciliates	27633177
5019382	2016	1	Bipartite Community Structure of eQTLs	27618581
5016883	2016	1	Emergence of <italic>Brucella suis</italic> in dogs in New South Wales, Australia: clinical findings and implications for zoonotic transmission	27613248
5016853	2016	3	Network Analysis of Fine Particulate Matter (PM<sub>2.5</sub>) Emissions in China	27608625
5011974	2016	3	Identification of key player genes in gene regulatory networks	27599550
5159538	2016	8	Personalized characterization of diseases using sample-specific networks	27596597
5007014	2016	2	BRIDES: A New Fast Algorithm and Software for Characterizing Evolving Similarity Networks Using Breakthroughs, Roadblocks, Impasses, Detours, Equals and Shortcuts	27580188
5006416	2016	1	Spatial and Temporal Dynamics of Pacific Oyster Hemolymph Microbiota across Multiple Scales	27630625
5020315	2016	1	Characterizing Twitter Discussions About HPV Vaccines Using Topic Modeling and Community Detection	27573910
5062996	2016	2	Network analysis of transcriptomics expands regulatory landscapes in <italic>Synechococcus</italic> sp. PCC 7002	27568004
5009817	2016	1	XMRF: an R package to fit Markov Networks to high-throughput genetics data	27586041
5069339	2016	1	Integrating haplotype-specific linkage maps in tetraploid species using SNP markers	27561740
5008050	2016	3	Disrupted anatomic networks in the 22q11.2 deletion syndrome	27622139
4993757	2016	1	Biotic Interactions in Microbial Communities as Modulators of Biogeochemical Processes: Methanotrophy as a Model System	27602021
4993150	2016	1	Infection-induced behavioural changes reduce connectivity and the potential for disease spread in wild mice contact networks	27548906
5003813	2016	2	Molecular Principles of Gene Fusion Mediated Rewiring of Protein Interaction Networks in Cancer	27540857
4989362	2016	1	Evaluation in alcohol use disorders &#x2013; insights from the nalmefene experience	27534932
4989143	2016	1	Systematic analysis of the regulatory functions of microRNAs in chicken hepatic lipid metabolism	27535581
5005524	2016	1	Integrated Analysis of DNA Methylation and mRNA Expression Profiles Data to Identify Key Genes in Lung Adenocarcinoma	27610375
4988711	2016	1	Anomaly Detection in Host Signaling Pathways for the Early Prognosis of Acute Infection	27532264
4987351	2016	1	The &#x201C;Hub Disruption Index,&#x201D; a Reliable Index Sensitive to the Brain Networks Reorganization. A Study of the Contralesional Hemisphere in Stroke	27582702
4987333	2016	1	Multiple Assembly Rules Drive the Co-occurrence of Orthopteran and Plant Species in Grasslands: Combining Network, Functional and Phylogenetic Approaches	27582754
