pmid	forename_lastname	affiliation
27993779	Irina_Balaur	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France, Campus Charles Mérieux - Université de Lyon, 50 Avenue Tony Garnier, 69007 Lyon, France ibalaur@eisbm.org.
27993779	Alexander_Mazein	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France, Campus Charles Mérieux - Université de Lyon, 50 Avenue Tony Garnier, 69007 Lyon, France.
27993779	Mansoor_Saqi	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France, Campus Charles Mérieux - Université de Lyon, 50 Avenue Tony Garnier, 69007 Lyon, France.
27993779	Artem_Lysenko	Rothamsted Research, Harpenden, West Common, Hertfordshire, AL5 2JQ, UK.
27993779	Christopher_J_Rawlings	Rothamsted Research, Harpenden, West Common, Hertfordshire, AL5 2JQ, UK.
27993779	Charles_Auffray	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France, Campus Charles Mérieux - Université de Lyon, 50 Avenue Tony Garnier, 69007 Lyon, France.
27919219	Vasundra_Touré	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Université de Lyon, 50 Avenue Tony Garnier, Lyon, 69007, France. vasundra.toure@uni-rostock.de.
27919219	Alexander_Mazein	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Université de Lyon, 50 Avenue Tony Garnier, Lyon, 69007, France.
27919219	Dagmar_Waltemath	Department of Systems Biology and Bioinformatics, University of Rostock, Rostock, 18051, Germany.
27919219	Irina_Balaur	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Université de Lyon, 50 Avenue Tony Garnier, Lyon, 69007, France.
27919219	Mansoor_Saqi	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Université de Lyon, 50 Avenue Tony Garnier, Lyon, 69007, France.
27919219	Ron_Henkel	Department of Business Information Systems, University of Rostock, Rostock, 18051, Germany.
27919219	Johann_Pellet	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Université de Lyon, 50 Avenue Tony Garnier, Lyon, 69007, France.
27919219	Charles_Auffray	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Université de Lyon, 50 Avenue Tony Garnier, Lyon, 69007, France.
27587666	Siavash_Sheikhizadeh	Bioinformatics Group, Wageningen University, Droevendaalsesteeg 1, 6708PB, Wageningen, The Netherlands.
27587666	M_Eric_Schranz	Biosystematics Group, Wageningen University, Droevendaalsesteeg 1, 6708PB, The Netherlands.
27587666	Mehmet_Akdel	Bioinformatics Group, Wageningen University, Droevendaalsesteeg 1, 6708PB, Wageningen, The Netherlands.
27587666	Dick_de_Ridder	Bioinformatics Group, Wageningen University, Droevendaalsesteeg 1, 6708PB, Wageningen, The Netherlands.
27587666	Sandra_Smit	Bioinformatics Group, Wageningen University, Droevendaalsesteeg 1, 6708PB, Wageningen, The Netherlands.
27462371	Artem_Lysenko	Rothamsted Research, Harpenden, West Common, Hertfordshire, AL5 2JQ UK.
27462371	Irina_A_Roznovăţ	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France.
27462371	Mansoor_Saqi	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France.
27462371	Alexander_Mazein	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France.
27462371	Christopher_J_Rawlings	Rothamsted Research, Harpenden, West Common, Hertfordshire, AL5 2JQ UK.
27462371	Charles_Auffray	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR CNRS 5308, CNRS-ENS-UCBL-INSERM, Lyon, France.
27196054	Joseph_Mullen	Interdisciplinary Computing and Complex BioSystems (ICOS) Research Group, School of Computing Science, Newcastle University, Newcastle upon Tyne, United Kingdom.
27196054	Simon_J_Cockell	Bioinformatics Support Unit, Newcastle University, Newcastle upon Tyne, United Kingdom.
27196054	Peter_Woollard	Computational Biology Department, Quantitative Sciences, GlaxoSmithKline Research &amp; Development Ltd, Stevenage, Hertfordshire, United Kingdom.
27196054	Anil_Wipat	Interdisciplinary Computing and Complex BioSystems (ICOS) Research Group, School of Computing Science, Newcastle University, Newcastle upon Tyne, United Kingdom.
26998997	Martin_Preusse	Institute of Diabetes and Regeneration Research, Helmholtz Zentrum München, German Research Center for Environmental Health, Neuherberg, Germany.
26998997	Fabian_J_Theis	Institute for Mathematical Sciences, Technische Universität München, Munich, Germany.
26998997	Nikola_S_Mueller	Institute of Computational Biology, Helmholtz Zentrum München, German Research Center for Environmental Health, Neuherberg, Germany.
26708334	Daniel_Bottomly	Knight Cancer Institute, Oregon Clinical and Translational Research Institute and.
26708334	Shannon_K_McWeeney	Knight Cancer Institute, Oregon Clinical and Translational Research Institute and Division of Bioinformatics and Computational Biology, Department of Medical Informatics and Clinical Epidemiology, Oregon Health and Science University, Portland OR 97239, USA.
26708334	Beth_Wilmot	Knight Cancer Institute, Oregon Clinical and Translational Research Institute and Division of Bioinformatics and Computational Biology, Department of Medical Informatics and Clinical Epidemiology, Oregon Health and Science University, Portland OR 97239, USA.
26657893	Xinbin_Dai	Plant Biology Division, The Samuel Roberts Noble Foundation, 2510 Sam Noble Parkway, Ardmore, OK 73401, USA.
26657893	Jun_Li	Plant Biology Division, The Samuel Roberts Noble Foundation, 2510 Sam Noble Parkway, Ardmore, OK 73401, USA.
26657893	Tingsong_Liu	Plant Biology Division, The Samuel Roberts Noble Foundation, 2510 Sam Noble Parkway, Ardmore, OK 73401, USA.
26657893	Patrick_Xuechun_Zhao	Plant Biology Division, The Samuel Roberts Noble Foundation, 2510 Sam Noble Parkway, Ardmore, OK 73401, USA pzhao@noble.org.
26272981	Georg_Summer	Center for Heart Failure Research, Cardiovascular Research Institute Maastricht (CARIM), University Hospital Maastricht, Maastricht, The Netherlands, TNO, Zeist, The Netherlands.
