pmid	forename_lastname	affiliation
4899405	Omar_Batarfi	King Abdulaziz University, Jeddah, Saudi Arabia 
4899405	Radwa_Elshawi	Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia 
4899405	Ayman_Fayoumi	King Abdulaziz University, Jeddah, Saudi Arabia 
4899405	Ahmed_Barnawi	King Abdulaziz University, Jeddah, Saudi Arabia 
4899405	Sherif_Sakr	University of New South Wales, Sydney, Australia 
4937193	Charles_Blatti	Department of Computer Science, University of Illinois, Urbana, IL 61801, USA
4937193	Saurabh_Sinha	Department of Computer Science, University of Illinois, Urbana, IL 61801, USA
4271144	Murat Can_Cobanoglu	Department of Computational and Systems Biology, University of Pittsburgh, School of Medicine, Pittsburgh, PA, 2The University of Pittsburgh Drug Discovery Institute, Pittsburgh, PA 15260 and 3Department of Pathology, University of Pittsburgh, School of Medicine, Pittsburgh, PA 15213, USA
4271144	Zolt&#xE1;n N._Oltvai	Department of Computational and Systems Biology, University of Pittsburgh, School of Medicine, Pittsburgh, PA, 2The University of Pittsburgh Drug Discovery Institute, Pittsburgh, PA 15260 and 3Department of Pathology, University of Pittsburgh, School of Medicine, Pittsburgh, PA 15213, USA
4271144	D. Lansing_Taylor	Department of Computational and Systems Biology, University of Pittsburgh, School of Medicine, Pittsburgh, PA, 2The University of Pittsburgh Drug Discovery Institute, Pittsburgh, PA 15260 and 3Department of Pathology, University of Pittsburgh, School of Medicine, Pittsburgh, PA 15213, USA
4271144	Ivet_Bahar	Department of Computational and Systems Biology, University of Pittsburgh, School of Medicine, Pittsburgh, PA, 2The University of Pittsburgh Drug Discovery Institute, Pittsburgh, PA 15260 and 3Department of Pathology, University of Pittsburgh, School of Medicine, Pittsburgh, PA 15213, USA
