pmid	forename_lastname	affiliation
5424488	Yusaku_Kodaka	Stem Cell Institute, University of Minnesota Medical School, Minneapolis, MN 55455, USA
5424488	Gemachu_Rabu	Stem Cell Institute, University of Minnesota Medical School, Minneapolis, MN 55455, USA
5424488	Atsushi_Asakura	Stem Cell Institute, University of Minnesota Medical School, Minneapolis, MN 55455, USA
5424177	Wei_Xu	Key Laboratory of Medical Molecular Virology of Ministries of Education and Health, School of Basic Medical Sciences and Shanghai Public Health Clinical Center, Fudan University, Shanghai 200032, China
5424177	Haoyang_Li	Key Laboratory of Medical Molecular Virology of Ministries of Education and Health, School of Basic Medical Sciences and Shanghai Public Health Clinical Center, Fudan University, Shanghai 200032, China
5424177	Qian_Wang	Key Laboratory of Medical Molecular Virology of Ministries of Education and Health, School of Basic Medical Sciences and Shanghai Public Health Clinical Center, Fudan University, Shanghai 200032, China
5424177	Chen_Hua	Key Laboratory of Medical Molecular Virology of Ministries of Education and Health, School of Basic Medical Sciences and Shanghai Public Health Clinical Center, Fudan University, Shanghai 200032, China
5424177	Hanzhen_Zhang	Key Laboratory of Medical Molecular Virology of Ministries of Education and Health, School of Basic Medical Sciences and Shanghai Public Health Clinical Center, Fudan University, Shanghai 200032, China
5424177	Weihua_Li	Key Laboratory of Reproduction Regulation of NPFPC, SIPPR, IRD, Fudan University, Shanghai 200032, China
5424177	Shibo_Jiang	Key Laboratory of Medical Molecular Virology of Ministries of Education and Health, School of Basic Medical Sciences and Shanghai Public Health Clinical Center, Fudan University, Shanghai 200032, China
5424177	Lu_Lu	Key Laboratory of Medical Molecular Virology of Ministries of Education and Health, School of Basic Medical Sciences and Shanghai Public Health Clinical Center, Fudan University, Shanghai 200032, China
5437071	Atsushi_Satomura	0000 0004 0372 2033grid.258799.8Division of Applied Life Sciences, Graduate School of Agriculture, Kyoto University, Sakyo-ku, Kyoto Japan 
5437071	Ryosuke_Nishioka	0000 0004 0372 2033grid.258799.8Division of Applied Life Sciences, Graduate School of Agriculture, Kyoto University, Sakyo-ku, Kyoto Japan 
5437071	Hitoshi_Mori	0000 0004 0372 2033grid.258799.8Division of Applied Life Sciences, Graduate School of Agriculture, Kyoto University, Sakyo-ku, Kyoto Japan 
5437071	Kosuke_Sato	0000 0004 0372 2033grid.258799.8Division of Applied Life Sciences, Graduate School of Agriculture, Kyoto University, Sakyo-ku, Kyoto Japan 
5437071	Kouichi_Kuroda	0000 0004 0372 2033grid.258799.8Division of Applied Life Sciences, Graduate School of Agriculture, Kyoto University, Sakyo-ku, Kyoto Japan 
5437071	Mitsuyoshi_Ueda	0000 0004 0372 2033grid.258799.8Division of Applied Life Sciences, Graduate School of Agriculture, Kyoto University, Sakyo-ku, Kyoto Japan 
5435461	Kotaro_Sugimoto	Developmental and Stem Cell Biology Division, Victor Chang Cardiac Research Institute, Darlinghurst, Australia
5435461	Subhra P_Hui	Developmental and Stem Cell Biology Division, Victor Chang Cardiac Research Institute, Darlinghurst, Australia
5435461	Delicia Z_Sheng	Developmental and Stem Cell Biology Division, Victor Chang Cardiac Research Institute, Darlinghurst, Australia
5435461	Kazu_Kikuchi	Developmental and Stem Cell Biology Division, Victor Chang Cardiac Research Institute, Darlinghurst, Australia
5430608	Xi_Cheng	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Gai_Liu	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Wenting_Ke	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Lijuan_Zhao	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Bo_Lv	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Xiaocui_Ma	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Nannan_Xu	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Xiaoling_Xia	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Xuan_Deng	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5430608	Chunlei_Zheng	0000 0001 0727 9022grid.34418.3aCollege of Life Sciences, Hubei University, Wuhan, 430062 China 
5430608	Kaiyao_Huang	0000000119573309grid.9227.eKey Laboratory of Algal Biology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072 China 
5429572	Stefan_Somplatzki	Helmholtz Centre for Infection Research, Structural and Functional Protein Research, Inhoffenstra&#xDF;e 7, D-38124 Braunschweig, Germany 
5429572	Martina_M&#xFC;hlenhoff	0000 0000 9529 9877grid.10423.34Institute of Cellular Chemistry, Hannover Medical School, D-30625 Hannover, Germany 
5429572	Andrea_Kr&#xF6;ger	Helmholtz Centre for Infection Research, Group Innate Immunity and Infection, Inhoffenstra&#xDF;e 7, D-38124 Braunschweig, Germany 
5429572	Rita_Gerardy-Schahn	0000 0000 9529 9877grid.10423.34Institute of Cellular Chemistry, Hannover Medical School, D-30625 Hannover, Germany 
5429572	Thomas_B&#xF6;ldicke	Helmholtz Centre for Infection Research, Structural and Functional Protein Research, Inhoffenstra&#xDF;e 7, D-38124 Braunschweig, Germany 
5429543	Malte P._Bartram	0000 0000 8580 3777grid.6190.eDepartment II of Internal Medicine and Center for Molecular Medicine Cologne, University of Cologne, Kerpener Str. 62, 50937 Cologne, Germany 
5429543	Tripti_Mishra	0000 0000 8580 3777grid.6190.eDepartment II of Internal Medicine and Center for Molecular Medicine Cologne, University of Cologne, Kerpener Str. 62, 50937 Cologne, Germany 
