pmid	forename_lastname	affiliation
5118702	Firas H._Kobeissy	Program for Neurotrauma, Neuroproteomics and Biomarkers Research, Department of Psychiatry, McKnight Brain Institute, University of Florida, Gainesville, FL, USA
5118702	Joy D._Guingab-Cagmat	Center of Innovative Research, Banyan Biomarkers Inc., Alachua, FL, USA
5118702	Zhiqun_Zhang	Program for Neurotrauma, Neuroproteomics and Biomarkers Research, Department of Psychiatry, McKnight Brain Institute, University of Florida, Gainesville, FL, USA
5118702	Ahmed_Moghieb	Program for Neurotrauma, Neuroproteomics and Biomarkers Research, Department of Psychiatry, McKnight Brain Institute, University of Florida, Gainesville, FL, USA
5118702	Olena Y._Glushakova	Department of Neurosurgery, Virginia Commonwealth University School of Medicine, Richmond, VA, USA
5118702	Stefania_Mondello	Department of Neurosciences, University of Messina, Messina, Italy
5118702	Angela M._Boutt&#xE9;	Brain Trauma Neuroprotection and Neurorestoration Branch, Center for Military Psychiatry and Neuroscience, Walter Reed Army Institute of Research, Silver Spring, MD, USA
5118702	John_Anagli	NeuroTheranostics Inc., Detroit, MI, USA
5118702	Richard_Rubenstein	Department of Neurology, SUNY Downstate Medical Center, Brooklyn, NY, USA
5118702	Hisham_Bahmad	Faculty of Medicine, Beirut Arab University, Beirut, Lebanon
5118702	Amy K._Wagner	Department of Physical Medicine and Rehabilitation, University of Pittsburgh, Pittsburgh, PA, USA
5118702	Ronald L._Hayes	Program for Neurotrauma, Neuroproteomics and Biomarkers Research, Department of Psychiatry, McKnight Brain Institute, University of Florida, Gainesville, FL, USA
5118702	Kevin K. W._Wang	Program for Neurotrauma, Neuroproteomics and Biomarkers Research, Department of Psychiatry, McKnight Brain Institute, University of Florida, Gainesville, FL, USA
5117493	Sung Jae_Yoon	Department of Animal Science &amp; Technology, Chung-Ang University, Anseong, Gyeonggi-Do 456-756 Republic of Korea 
5117493	Md Saidur_Rahman	Department of Animal Science &amp; Technology, Chung-Ang University, Anseong, Gyeonggi-Do 456-756 Republic of Korea 
5117493	Woo Sung_Kwon	Department of Animal Science &amp; Technology, Chung-Ang University, Anseong, Gyeonggi-Do 456-756 Republic of Korea 
5117493	Do Yeal_Ryu	Department of Animal Science &amp; Technology, Chung-Ang University, Anseong, Gyeonggi-Do 456-756 Republic of Korea 
5117493	Yoo Jin_Park	Department of Animal Science &amp; Technology, Chung-Ang University, Anseong, Gyeonggi-Do 456-756 Republic of Korea 
