pmid	forename_lastname	affiliation
5203720	Brandilyn A._Peters	Department of Population Health, New York University School of Medicine, New York, NY USA 
5203720	Christine_Dominianni	Department of Population Health, New York University School of Medicine, New York, NY USA 
5203720	Jean A._Shapiro	Division of Cancer Prevention and Control, Centers for Disease Control and Prevention, Atlanta, GA USA 
5203720	Timothy R._Church	Division of Environmental Health Sciences, School of Public Health, University of Minnesota, Minneapolis, MN USA 
5203720	Jing_Wu	Department of Population Health, New York University School of Medicine, New York, NY USA 
5203720	George_Miller	Department of Surgery, New York University School of Medicine, New York, NY USA 
5203720	Elizabeth_Yuen	Kips Bay Endoscopy Center, New York, NY USA 
5203720	Hal_Freiman	Kips Bay Endoscopy Center, New York, NY USA 
5203720	Ian_Lustbader	Kips Bay Endoscopy Center, New York, NY USA 
5203720	James_Salik	Kips Bay Endoscopy Center, New York, NY USA 
5203720	Charles_Friedlander	Kips Bay Endoscopy Center, New York, NY USA 
5203720	Richard B._Hayes	Department of Population Health, New York University School of Medicine, New York, NY USA 
5203720	Jiyoung_Ahn	Department of Population Health, New York University School of Medicine, New York, NY USA 
5180091	Zeev_Waks	Machine Learning for Healthcare and Life Sciences, IBM Research &#x2013; Haifa, Mount Carmel Campus, Israel
5180091	Omer_Weissbrod	Machine Learning for Healthcare and Life Sciences, IBM Research &#x2013; Haifa, Mount Carmel Campus, Israel
5180091	Boaz_Carmeli	Machine Learning for Healthcare and Life Sciences, IBM Research &#x2013; Haifa, Mount Carmel Campus, Israel
5180091	Raquel_Norel	Computational Biology Center, IBM T. J. Watson Research, Yorktown Heights, NY 10598, USA
5180091	Filippo_Utro	Computational Biology Center, IBM T. J. Watson Research, Yorktown Heights, NY 10598, USA
5180091	Yaara_Goldschmidt	Machine Learning for Healthcare and Life Sciences, IBM Research &#x2013; Haifa, Mount Carmel Campus, Israel
5168876	Francesco_Iorio	European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Genome Campus, Cambridge, CB10 1SD UK 
5168876	Marti_Bernardo-Faura	European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Genome Campus, Cambridge, CB10 1SD UK 
5168876	Andrea_Gobbi	Fondazione Bruno Kessler, Povo, Trento, I-38122 Italy 
5168876	Thomas_Cokelaer	European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Genome Campus, Cambridge, CB10 1SD UK 
5168876	Giuseppe_Jurman	Fondazione Bruno Kessler, Povo, Trento, I-38122 Italy 
5168876	Julio_Saez-Rodriguez	European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Genome Campus, Cambridge, CB10 1SD UK 
5168813	Leah_Rosental	The French Associates Institute for Agriculture and Biotechnology of Dryland, the Jacob Blaustein Institutes for Desert Research, Ben-Gurion University of the Negev, Sede Boqer Campus, Midreshet Ben Gurion, 84990 Israel 
5168813	Adi_Perelman	Robert H. Smith Institute of Plant Sciences and Genetics in Agriculture, The Hebrew University of Jerusalem, Rehovot, 76100 Israel 
5168813	Noa_Nevo	The French Associates Institute for Agriculture and Biotechnology of Dryland, the Jacob Blaustein Institutes for Desert Research, Ben-Gurion University of the Negev, Sede Boqer Campus, Midreshet Ben Gurion, 84990 Israel 
5168813	David_Toubiana	The French Associates Institute for Agriculture and Biotechnology of Dryland, the Jacob Blaustein Institutes for Desert Research, Ben-Gurion University of the Negev, Sede Boqer Campus, Midreshet Ben Gurion, 84990 Israel 
5168813	Talya_Samani	The French Associates Institute for Agriculture and Biotechnology of Dryland, the Jacob Blaustein Institutes for Desert Research, Ben-Gurion University of the Negev, Sede Boqer Campus, Midreshet Ben Gurion, 84990 Israel 
5168813	Albert_Batushansky	The French Associates Institute for Agriculture and Biotechnology of Dryland, the Jacob Blaustein Institutes for Desert Research, Ben-Gurion University of the Negev, Sede Boqer Campus, Midreshet Ben Gurion, 84990 Israel 
5168813	Noga_Sikron	The French Associates Institute for Agriculture and Biotechnology of Dryland, the Jacob Blaustein Institutes for Desert Research, Ben-Gurion University of the Negev, Sede Boqer Campus, Midreshet Ben Gurion, 84990 Israel 
5168813	Yehoshua_Saranga	Robert H. Smith Institute of Plant Sciences and Genetics in Agriculture, The Hebrew University of Jerusalem, Rehovot, 76100 Israel 
5168813	Aaron_Fait	The French Associates Institute for Agriculture and Biotechnology of Dryland, the Jacob Blaustein Institutes for Desert Research, Ben-Gurion University of the Negev, Sede Boqer Campus, Midreshet Ben Gurion, 84990 Israel 
5154134	Hai_Fang	Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, OX3 7BN UK 
5154134	Bogdan_Knezevic	Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, OX3 7BN UK 
5154134	Katie L._Burnham	Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, OX3 7BN UK 
5154134	Julian C._Knight	Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, OX3 7BN UK 
5147790	Simon J._Goring	Department of Geography, University of Wisconsin-Madison, Madison, Wisconsin, United States      
5147790	David J._Mladenoff	Department of Forest and Wildlife Ecology, University of Wisconsin-Madison, Madison, Wisconsin, United States      
5147790	Charles V._Cogbill	Harvard Forest, Harvard University, Petersham, Massachusetts, United States      
5147790	Sydne_Record	Harvard Forest, Harvard University, Petersham, Massachusetts, United States      
5147790	Christopher J._Paciorek	Department of Statistics, University of California, Berkeley, California, United States      
5147790	Stephen T._Jackson	Department of the Interior Southwest Climate Science Center, U.S. Geological Survey, Tucson, Arizona      
5147790	Michael C._Dietze	Department of Earth and Environment, Boston University, Boston, Massachusetts, United States      
5147790	Andria_Dawson	Department of Statistics, University of California, Berkeley, California, United States      
5147790	Jaclyn Hatala_Matthes	Department of Geography, Dartmouth College, Hanover, New Hampshire, United States      
5147790	Jason S._McLachlan	Department of Biological Sciences, University of Notre Dame, Notre Dame, Indiana, United States      
5147790	John W._Williams	Department of Geography, University of Wisconsin-Madison, Madison, Wisconsin, United States      
5138592	Dezso_Modos	Department of Morphology and Physiology, Faculty of Health Sciences, Semmelweis University, Budapest, Hungary
5138592	Johanne_Brooks	Gut Health and Food Safety Programme, Institute of Food Research, Norwich Research Park, Norwich, UK
5138592	David_Fazekas	Department of Genetics, Eotvos Lorand University, Budapest, Hungary
5138592	Eszter_Ari	Department of Genetics, Eotvos Lorand University, Budapest, Hungary
