pmid	forename_lastname	affiliation
28023925	B_Rungruang	Magee-Womens Hospital of the University of Pittsburgh Medical Center, Pittsburgh, PA; Women's Health Integrated Research Center, Annandale, VA; Mass Spectrometry Platform, Cancer Biomarkers Facility, University of Pittsburgh Cancer Institute, Pittsburgh, PA.
28023925	P_Teng	
28023925	B_L_Hood	
28023925	M_Sun	
28023925	M_S_Flint	
28023925	N_W_Bateman	
28023925	J_Jones-Laughner	
28023925	G_L_Maxwell	
28023925	T_C_Krivak	
28023925	T_P_Conrads	
28021476	A_M_Thompson	University of Dundee, Dundee, United Kingdom; University of Texas M. D. Anderson Cancer Center, Houston, TX; Department of Investigational Cancer Therapeutics (Phase I Program), University of Texas M. D. Anderson Cancer Center, Houston, TX.
28021476	T_Iwamoto	
28021476	L_Jordan	
28021476	C_Purdie	
28021476	S_E_Bray	
28021476	L_Baker	
28021476	G_Hardie	
28021476	L_Pusztai	
28021476	S_L_Moulder	
28021476	J_A_Dewar	
28021476	S_M_Hadad	
28020624	H_Chang	Bristol-Myers Squibb, Hopewell, NJ; Bristol-Myers Squibb, Wallingford, CT; Bristol-Myers Squibb, Plainsboro, NJ; Massachusetts General Hospital, Boston, MA; Montefiore Medical Center, Bronx, NY.
28020624	C_E_Horak	
28020624	P_Mukhopadhyay	
28020624	C_Lowery	
28020624	J_Baselga	
28020624	J_A_Sparano	
28020544	C_Y_Hu	The Children's Hospital at Montefiore, Bronx, NY; Yale University, New Haven, CT; Albert Einstein College of Medicine, Bronx, NY; Montefiore Medical Center, Bronx, NY.
28020544	D_Mohtat	
28020544	Y_Yu	
28020544	T_Bhagat	
28020544	C_J_Heuck	
28020544	K_Ware	
28020544	A_Hakimi	
28020544	R_Ghavamian	
28020544	J_Pullman	
28020544	K_Susztak	
28020544	A_Verma	
28012239	AnneMarie_C_Brescia	Nemours/Thomas Jefferson University, Wilmington, DE, USA.
28012239	Megan_M_Simonds	
28012239	Kathleen_E_Sullivan	
28012239	Carlos_D_Rose	
28003019	Susanne_Schüler-Toprak	Department of Gynaecology and Obstetrics, University Medical Center Regensburg, Caritas-Hospital St. Josef, Landshuter Str. 65, 93053, Regensburg, Germany. sschueler@caritasstjosef.de.
28003019	Julia_Häring	
28003019	Elisabeth_C_Inwald	
28003019	Christoph_Moehle	
28003019	Olaf_Ortmann	
28003019	Oliver_Treeck	
28002487	Anna_Slawinska	Department of Animal Biochemistry and Biotechnology, UTP University of Science and Technology, Mazowiecka 28, Bydgoszcz, Poland.
28002487	Arkadiusz_Plowiec	
28002487	Maria_Siwek	
28002487	Marcin_Jaroszewski	
28002487	Marek_Bednarczyk	
27999531	Jun_Yu	Jiangsu Key Laboratory of Neuroregeneration, Co-innovation Center of Neuroregeneration, Nantong University Nantong, China.
27999531	Xiaosong_Gu	
27999531	Sheng_Yi	
27998058	Alfredo_Oliveros	NA
27998058	Phillip_Starski	
27998058	Daniel_Lindberg	
27998058	Sun_Choi	
27998058	Carrie_J_Heppelmann	
27998058	Surendra_Dasari	
27998058	Doo-Sup_Choi	
27995293	Ryeo-Ok_Kim	System Toxicology Research Center, Korea Institute of Toxicology, Daejeon, 34111, South Korea.
27995293	Jin_Soo_Choi	
27995293	Byoung-Chul_Kim	
27995293	Woo-Keun_Kim	
27992366	Jiye_Li	Beijing Neurosurgical Institute, Capital Medical University, Tiantan Xili, Dongcheng District, Beijing, China.
27992366	Chuzhong_Li	
27992366	Jianpeng_Wang	
27992366	Guidong_Song	
27992366	Zheng_Zhao	
27992366	Haoyuan_Wang	
27992366	Wen_Wang	
27992366	Hailong_Li	
27992366	Zhenye_Li	
27992366	Yazhou_Miao	
27992366	Guilin_Li	
27992366	Yazhuo_Zhang	
27986634	Riqiang_Liu	Department of Breast Surgery, The Affiliated Tumor Hospital of Guangxi Medical University, Nanning, Guangxi, 530021, China. Electronic address: liuriqiang@whu.edu.cn.
