pmid	forename_lastname	affiliation
5154164	Suzanne_Paley	Bioinformatics Research Group, SRI International, 333 Ravenswood Ave, Menlo Park, 94025 USA 
5154164	Paul E._O&#x2019;Maille	John Innes Centre, Department of Metabolic Biology, and the Institute of Food Research, Food &amp; Health Programme, Norwich Research Park, Norfolk, NR4 7UH UK 
5154164	Daniel_Weaver	Bioinformatics Research Group, SRI International, 333 Ravenswood Ave, Menlo Park, 94025 USA 
5154164	Peter D._Karp	Bioinformatics Research Group, SRI International, 333 Ravenswood Ave, Menlo Park, 94025 USA 
5120462	Natini_Jinawath	Integrative Computational BioScience (ICBS) Center, Mahidol University, Nakhon Pathom, Thailand 
5120462	Sacarin_Bunbanjerdsuk	Program in Translational Medicine, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok, Thailand 
5120462	Maneerat_Chayanupatkul	Department of Physiology, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand 
5120462	Nuttapong_Ngamphaiboon	Medical Oncology Unit, Department of Medicine Faculty of Medicine, Ramathibodi Hospital, Mahidol University, Bangkok, Thailand 
5120462	Nithi_Asavapanumas	Department of Physiology, Faculty of Science, Mahidol University, Bangkok, Thailand 
5120462	Jisnuson_Svasti	Integrative Computational BioScience (ICBS) Center, Mahidol University, Nakhon Pathom, Thailand 
5120462	Varodom_Charoensawan	Integrative Computational BioScience (ICBS) Center, Mahidol University, Nakhon Pathom, Thailand 
5089131	Karoline_Faust	Center for the Biology of Disease, VIB, Leuven, 3000, Belgium
5089131	Jeroen_Raes	Center for the Biology of Disease, VIB, Leuven, 3000, Belgium
5085749	Yi_Yang	Public Laboratory, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin 300060, China;  (W.J.)
5085749	Na_Wu	Key Laboratory of Cancer Prevention and Therapy, Tianjin Medical University Cancer Institute and Hospital, Tianjin 300060, China; 
5085749	Zhiyong_Wang	Public Laboratory, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin 300060, China;  (W.J.)
5085749	Fei_Zhang	Public Laboratory, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin 300060, China;  (W.J.)
5085749	Ran_Tian	Public Laboratory, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin 300060, China;  (W.J.)
5085749	Wei_Ji	Public Laboratory, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin 300060, China;  (W.J.)
5085749	Xiubao_Ren	Key Laboratory of Cancer Prevention and Therapy, Tianjin Medical University Cancer Institute and Hospital, Tianjin 300060, China; 
5085749	Ruifang_Niu	Public Laboratory, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Tianjin 300060, China;  (W.J.)
5064015	Jin-Ah_Kim	Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Ying_Tan	Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Xian_Wang	Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Xixi_Cao	Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Jamunarani_Veeraraghavan	Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Yulong_Liang	Department of Surgery, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Dean P._Edwards	Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Shixia_Huang	Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Xuewen_Pan	Department of Biochemistry and Molecular Biology, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Kaiyi_Li	Department of Surgery, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Rachel_Schiff	Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, Texas 77030, USA
5064015	Xiao-Song_Wang	Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, Texas 77030, USA
4967295	Hsiao-Rong_Chen	Bioinformatics Program, College of Engineering, Boston University, Boston, MA USA 
4967295	David H._Sherr	Department of Environmental Health, Boston University School of Public Health, Boston, MA USA 
4967295	Zhenjun_Hu	Bioinformatics Program, College of Engineering, Boston University, Boston, MA USA 
