pmid	forename_lastname	affiliation
5178346	Lucas_Sinclair	Department of Ecology and Genetics, Limnology, Uppsala University, Uppsala, Sweden
5178346	Umer Z._Ijaz	Infrastructure and Environment Research Division, School of Engineering, University of Glasgow, Glasgow, United Kingdom
5178346	Lars Juhl_Jensen	The Novo Nordisk Foundation Center for Protein Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark
5178346	Marco J.L._Coolen	Western Australia Organic and Isotope Geochemistry Centre (WA-OIGC), Department of Chemistry, Curtin University of Technology, Bentley, WA, Australia
5178346	Cecile_Gubry-Rangin	Institute of Biological &amp; Environmental Sciences, University of Aberdeen, Aberdeen, United Kingdom
5178346	Alica_Chro&#x148;&#xE1;kov&#xE1;	Institute of Soil Biology, Biology Centre, Czech Academy of Sciences, &#x10C;esk&#xE9; Bud&#x11B;jovice, Czech Republic
5178346	Anastasis_Oulas	Bioinformatics Group, The Cyprus Institute of Neurology and Genetics, Nicosia, Cyprus
5178346	Christina_Pavloudi	Institute of Marine Biology Biotechnology and Aquaculture (IMBBC), Hellenic Centre for Marine Research (HCMR), Heraklion Crete, Greece
5178346	Julia_Schnetzer	Department of Molecular Ecology, Microbial Genomics and Bioinformatics Group, Max Planck Institute for Marine Microbiology, Bremen, Germany
5178346	Aaron_Weimann	Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig,  Germany
5178346	Ali_Ijaz	Hawkesbury Institute for the Environment, University of Western Sydney, Hawkesbury, Sydney, Australia
5178346	Alexander_Eiler	Department of Ecology and Genetics, Limnology, Uppsala University, Uppsala, Sweden
5178346	Christopher_Quince	Warwick Medical School, University of Warwick, Warwick, United Kingdom
5178346	Evangelos_Pafilis	Institute of Marine Biology Biotechnology and Aquaculture (IMBBC), Hellenic Centre for Marine Research (HCMR), Heraklion Crete, Greece
5103826	Giorgio_Gonnella	Zentrum f&#xFC;r Bioinformatik, Universit&#xE4;t Hamburg, Hamburg, Germany
5103826	Stefan_Kurtz	Zentrum f&#xFC;r Bioinformatik, Universit&#xE4;t Hamburg, Hamburg, Germany
5129702	Arup_Ghosh	Unified Digital Manufacturing Laboratory, Department of Industrial Engineering, Ajou University, Suwon 443-749, Republic of Korea
5129702	Shiming_Qin	Unified Digital Manufacturing Laboratory, Department of Industrial Engineering, Ajou University, Suwon 443-749, Republic of Korea
5129702	Jooyeoun_Lee	Department of Industrial Engineering, Ajou University, Suwon 443-749, Republic of Korea
5129702	Gi-Nam_Wang	Department of Industrial Engineering, Ajou University, Suwon 443-749, Republic of Korea
5085095	Kenneth_Day	HudsonAlpha Institute for Biotechnology, Huntsville, Alabama, United States of America      
5085095	Lindsay L._Waite	HudsonAlpha Institute for Biotechnology, Huntsville, Alabama, United States of America      
5085095	Arnald_Alonso	HudsonAlpha Institute for Biotechnology, Huntsville, Alabama, United States of America      
5085095	Marguerite R._Irvin	University of Alabama at Birmingham, School of Public Health, Department of Epidemiology, Birmingham, Alabama, United States of America      
5085095	Degui_Zhi	University of Alabama at Birmingham, School of Public Health, Department of Biostatistics, Birmingham, Alabama, United States of America      
5085095	Krista S._Thibeault	HudsonAlpha Institute for Biotechnology, Huntsville, Alabama, United States of America      
5085095	Stella_Aslibekyan	University of Alabama at Birmingham, School of Public Health, Department of Epidemiology, Birmingham, Alabama, United States of America      
5085095	Bertha_Hidalgo	University of Alabama at Birmingham, School of Public Health, Department of Biostatistics, Birmingham, Alabama, United States of America      
5085095	Ingrid B._Borecki	Washington University, Division of Statistical Genomics, St. Louis, Missouri, United States of America      
5085095	Jose M._Ordovas	Tufts University, Jean Mayer USDA Human Nutrition Research Center on Aging, Boston, Massachusetts, United States of America      
5085095	Donna K._Arnett	University of Alabama at Birmingham, School of Public Health, Department of Epidemiology, Birmingham, Alabama, United States of America      
5085095	Hemant K._Tiwari	University of Alabama at Birmingham, School of Public Health, Department of Biostatistics, Birmingham, Alabama, United States of America      
5085095	Devin M._Absher	HudsonAlpha Institute for Biotechnology, Huntsville, Alabama, United States of America      
5105883	Braxton_Fitts	Department of Computer Science and Engineering, UC San Diego, San Diego, USA
5105883	Ziran_Zhang	Department of Computer Science and Engineering, UC San Diego, San Diego, USA
5105883	Massoud_Maher	Department of Computer Science and Engineering, UC San Diego, San Diego, USA
5105883	Barry_Demchak	Department of Health Sciences, UC San Diego, San Diego, USA
5071336	Jonathan_Chabout	Department of Neurobiology, Duke University Medical Center        Durham, NC, USA      
5071336	Abhra_Sarkar	Department of Statistical Science, Duke University        Durham, NC, USA      
5071336	Sheel R._Patel	Department of Neurobiology, Duke University Medical Center        Durham, NC, USA      
5071336	Taylor_Radden	Department of Neurobiology, Duke University Medical Center        Durham, NC, USA      
5071336	David B._Dunson	Department of Statistical Science, Duke University        Durham, NC, USA      
