pmid	forename_lastname	affiliation
5139139	Vasundra_Tour&#xE9;	Department of Systems Biology and Bioinformatics, University of Rostock, Rostock, 18051 Germany 
5139139	Alexander_Mazein	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Universit&#xE9; de Lyon, 50 Avenue Tony Garnier, Lyon, 69007 France 
5139139	Dagmar_Waltemath	Department of Systems Biology and Bioinformatics, University of Rostock, Rostock, 18051 Germany 
5139139	Irina_Balaur	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Universit&#xE9; de Lyon, 50 Avenue Tony Garnier, Lyon, 69007 France 
5139139	Mansoor_Saqi	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Universit&#xE9; de Lyon, 50 Avenue Tony Garnier, Lyon, 69007 France 
5139139	Ron_Henkel	Scientific Databases and Visualization, Heidelberg Institute for Theoretical Studies, Heidelberg, Germany 
5139139	Johann_Pellet	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Universit&#xE9; de Lyon, 50 Avenue Tony Garnier, Lyon, 69007 France 
5139139	Charles_Auffray	European Institute for Systems Biology and Medicine (EISBM), CIRI UMR 5308, CNRS-ENS-UCBL-INSERM, Universit&#xE9; de Lyon, 50 Avenue Tony Garnier, Lyon, 69007 France 
5103253	R. Cameron_Craddock	Computational Neuroimaging Lab, Center for Biomedical Imaging and Neuromodulation, Nathan Kline Institute for Psychiatric Research, Orangeburg, NY USA 
5103253	Pierre_Bellec	Centre de Recherche, Institut Universitaire de G&#xE9;riatrie de Montr&#xE9;al, Montr&#xE9;al, Quebec Canada 
5103253	Daniel S._Margules	Max Planck Research Group for Neuroanatomy &amp; Connectivity, Max Planck Institute for Human Cognitive and Brain Sciences, Leipzig, Germany 
5103253	B. Nolan_Nichols	SRI International, Menlo Park, CA USA 
5103253	J&#xF6;rg P._Pfannm&#xF6;ller	Functional Imaging Unit, Center for Diagnostic Radiology, Unviersity Medicine Greifswald, Greifswald, Greeifswald Germany 
5103253	AmanPreet_Badhwar	Centre de Recherche, Institut Universitaire de G&#xE9;riatrie de Montr&#xE9;al, Montr&#xE9;al, Quebec Canada 
5103253	David_Kennedy	University of Massachusetts Medical School, Worcester, MA USA 
5103253	Jean-Baptiste_Poline	University of California, Berkeley, CA USA 
5103253	Roberto_Toro	Institut Pasteur, Paris, France 
5103253	Ben_Cipollini	University of California, San Diego, La Jolla, CA USA 
5103253	Ariel_Rokem	University of Washington, Seattle, WA USA 
5103253	Daniel_Clark	Center for the Developing Brain, Child Mind Institute, New York, NY USA 
5103253	Krzysztof J._Gorgolewski	Poldrack Lab, Department of Psychology, Stanford University, Stanford, CA USA 
5103253	R. Cameron_Craddock	Center for the Developing Brain, Child Mind Institute, New York, NY USA 
5103253	R. Cameron_Craddock	Computational Neuroimaging Lab, Center for Biomedical Imaging and Neuromodulation, Nathan Kline Institute for Psychiatric Research, Orangeburg, NY USA 
5103253	Daniel J._Clark	Center for the Developing Brain, Child Mind Institute, New York, NY USA 
5103253	Samir_Das	Montr&#xE9;al Neurological Institute, McGill University and Institute of Pscychology, Montr&#xE9;al, Qu&#xE9;bec Canada 
5103253	C&#xE9;cile_Madjar	Douglas Mental Health Institute, Montr&#xE9;al, Qu&#xE9;bec Canada 
5103253	Ayan_Sengupta	Otto-von-Guericke University, Magdeburg, Germany 
5103253	Zia_Mohades	Montr&#xE9;al Neurological Institute, McGill University and Institute of Pscychology, Montr&#xE9;al, Qu&#xE9;bec Canada 
5103253	Sebastien_Dery	Montreal Neurological Institute, McGill University, Montreal, QC Canada 
5103253	Weiran_Deng	University of Hawaii John A. Burns School of Medicine, Honolulu, Hawaii USA 
5103253	Eric_Earl	Oregon Health &amp; Science University, Portland, OR USA 
5103253	Damion V._Demeter	Oregon Health &amp; Science University, Portland, OR USA 
5103253	Kate_Mills	Oregon Health &amp; Science University, Portland, OR USA 
5103253	Glad_Mihai	University of Greifswald, Greifswald, Germany 
5103253	Luka_Ruzic	Duke Institute for Brain Sciences, Durham, NC USA 
5103253	Nick_Ketz	Department of Psychology and Neuroscience, University of Colorado, Boulder, CO USA 
5103253	Andrew_Reineberg	Institute of Cognitive Neuroscience, University College London, London, United Kingdom 
5103253	Marianne C._Reddan	Department of Psychology and Neuroscience, University of Colorado, Boulder, CO USA 
5103253	Anne-Lise_Goddings	Institute of Cognitive Neuroscience, University College London, London, United Kingdom 
