pmid	forename_lastname	affiliation
28451378	Aimee_Malzahn	Department of Plant Science and Landscape Architecture, University of Maryland, College Park, MD 20742 USA.
28451378	Levi_Lowder	Department of Biology, East Carolina University, Greenville, NC 27858 USA.
28451378	Yiping_Qi	Institute for Bioscience and Biotechnology Research, University of Maryland, Rockville, MD 20850 USA.
28362803	Minho_Won	Department of Pharmacology, College of Medicine, Chungnam National University, Jung-gu, Daejeon, Korea (ROK).
28362803	Igor_B_Dawid	Section on Developmental Biology, DDB, National Institute of Child Health and Human Development, NIH, Bethesda, Maryland, United States of America.
28360929	Sarah_Kopischke	Botany Department, School of Biology/Chemistry, Osnabrueck University, Osnabrueck, Germany.
28360929	Esther_Schüßler	Botany Department, School of Biology/Chemistry, Osnabrueck University, Osnabrueck, Germany.
28360929	Felix_Althoff	Botany Department, School of Biology/Chemistry, Osnabrueck University, Osnabrueck, Germany.
28360929	Sabine_Zachgo	Botany Department, School of Biology/Chemistry, Osnabrueck University, Osnabrueck, Germany.
28261237	Kai_Zhang	Department of Biotechnology, College of Life Science and Technology, Huazhong University of Science and TechnologyWuhan, China; Hubei Collaborative Innovation Center for the Characteristic Resources Exploitation of Dabie Mountains, Huanggang Normal UniversityHuanggang, China.
28261237	Nadia_Raboanatahiry	Department of Biotechnology, College of Life Science and Technology, Huazhong University of Science and Technology Wuhan, China.
28261237	Bin_Zhu	Department of Biotechnology, College of Life Science and Technology, Huazhong University of Science and Technology Wuhan, China.
28261237	Maoteng_Li	Department of Biotechnology, College of Life Science and Technology, Huazhong University of Science and TechnologyWuhan, China; Hubei Collaborative Innovation Center for the Characteristic Resources Exploitation of Dabie Mountains, Huanggang Normal UniversityHuanggang, China.
28179977	Tuhin_Kumar_Guha	Department of Microbiology, University of Manitoba, Winnipeg, Manitoba R3T2N2, Canada.
28179977	Alvan_Wai	Department of Microbiology, University of Manitoba, Winnipeg, Manitoba R3T2N2, Canada.
28179977	Georg_Hausner	Department of Microbiology, University of Manitoba, Winnipeg, Manitoba R3T2N2, Canada.
28167937	Gustavo_Romay	Applied Microbiology - Phytopathology, Earth and Life Institute, Université catholique de Louvain Louvain-la-Neuve, Belgium.
28167937	Claude_Bragard	Applied Microbiology - Phytopathology, Earth and Life Institute, Université catholique de Louvain Louvain-la-Neuve, Belgium.
28131278	Carmen_F_Bjurström	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Michelle_Mojadidi	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	John_Phillips	Howard Hughes Medical Institute, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Caroline_Kuo	Department of Pediatrics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Stephen_Lai	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Georgia_R_Lill	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Aaron_Cooper	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Michael_Kaufman	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Fabrizia_Urbinati	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Xiaoyan_Wang	Department of General Internal Medicine and Health Services Research, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Roger_P_Hollis	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA.
28131278	Donald_B_Kohn	Department of Microbiology, Immunology, &amp; Molecular Genetics, University of California, Los Angeles, Los Angeles, California, USA; Department of Pediatrics, University of California, Los Angeles, Los Angeles, California, USA. Electronic address: dkohn@mednet.ucla.edu.
28129851	P_E_Witten	Ghent University, Ghent, Belgium.
28129851	M_P_Harris	Harvard Medical School, Boston, MA, United States.
28129851	A_Huysseune	Ghent University, Ghent, Belgium.
28129851	C_Winkler	National University of Singapore, Singapore, Singapore.
28128770	Tuyana_B_Malankhanova	Institute of Chemical Biology and Fundamental Medicine, The Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia.
28128770	Anastasia_A_Malakhova	Institute of Chemical Biology and Fundamental Medicine, The Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia.
28128770	Sergey_P_Medvedev	Institute of Chemical Biology and Fundamental Medicine, The Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia.
28128770	Suren_M_Zakian	Institute of Chemical Biology and Fundamental Medicine, The Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia.
28018102	Esperance_A_K_Schaefer	Esperance AK Schaefer, James Meixiong, Christina Mark, Daniel L Motola, Dahlene Fusco, Andrew Yang, Cynthia Brisac, Shadi Salloum, Wenyu Lin, Lee F Peng, Raymond T Chung, Gastrointestinal Unit, Massachusetts General Hospital, Boston, MA 02114, United States.
28018102	James_Meixiong	Esperance AK Schaefer, James Meixiong, Christina Mark, Daniel L Motola, Dahlene Fusco, Andrew Yang, Cynthia Brisac, Shadi Salloum, Wenyu Lin, Lee F Peng, Raymond T Chung, Gastrointestinal Unit, Massachusetts General Hospital, Boston, MA 02114, United States.
28018102	Christina_Mark	Esperance AK Schaefer, James Meixiong, Christina Mark, Daniel L Motola, Dahlene Fusco, Andrew Yang, Cynthia Brisac, Shadi Salloum, Wenyu Lin, Lee F Peng, Raymond T Chung, Gastrointestinal Unit, Massachusetts General Hospital, Boston, MA 02114, United States.
