pmid	forename_lastname	affiliation
5159811	Fei_He	Biology Department, Brookhaven National Laboratory, Upton, NY 11973, USA
5159811	Sergei_Maslov	Biology Department, Brookhaven National Laboratory, Upton, NY 11973, USA
5184379	Antonio E._Mendes	UNKNOWN
5184379	Fernanda S._Tonin	UNKNOWN
5184379	Fernando_Fernandez-Llimos	UNKNOWN
5156904	Lucas P. P._Braga	Cell and Molecular Biology Laboratory, Center for Nuclear Energy in Agriculture (CENA), University of Sao Paulo (USP), Piracicaba, Brazil
5156904	Caio A._Yoshiura	Cell and Molecular Biology Laboratory, Center for Nuclear Energy in Agriculture (CENA), University of Sao Paulo (USP), Piracicaba, Brazil
5156904	Clovis D._Borges	Cell and Molecular Biology Laboratory, Center for Nuclear Energy in Agriculture (CENA), University of Sao Paulo (USP), Piracicaba, Brazil
5156904	Marcus A._Horn	Institute of Microbiology, Leibniz University Hannover, Hannover, Germany
5156904	George G._Brown	Embrapa Florestas, Colombo, Brazil
5156904	Harold L._Drake	Department of Ecological Microbiology, University of Bayreuth, Germany
5156904	Siu M._Tsai	Cell and Molecular Biology Laboratory, Center for Nuclear Energy in Agriculture (CENA), University of Sao Paulo (USP), Piracicaba, Brazil
5141286	Dirk S._Paul	Medical Genomics, UCL Cancer Institute, University College London, London WC1E 6BT, UK
5141286	Andrew E._Teschendorff	CAS Key Lab of Computational Biology, CAS-MPG Partner Institute for Computational Biology, Shanghai Institute for Biological Sciences, Chinese Academy of Sciences, Shanghai 200031, China
5141286	Mary A.N._Dang	The Blizard Institute, Barts and The London School of Medicine and Dentistry, Queen Mary University of London, London E1 2AT, UK
5141286	Robert_Lowe	The Blizard Institute, Barts and The London School of Medicine and Dentistry, Queen Mary University of London, London E1 2AT, UK
5141286	Mohammed I._Hawa	The Blizard Institute, Barts and The London School of Medicine and Dentistry, Queen Mary University of London, London E1 2AT, UK
5141286	Simone_Ecker	Medical Genomics, UCL Cancer Institute, University College London, London WC1E 6BT, UK
5141286	Huriya_Beyan	The Blizard Institute, Barts and The London School of Medicine and Dentistry, Queen Mary University of London, London E1 2AT, UK
5141286	Stephanie_Cunningham	The Blizard Institute, Barts and The London School of Medicine and Dentistry, Queen Mary University of London, London E1 2AT, UK
5141286	Alexandra R._Fouts	Barbara Davis Center for Childhood Diabetes, University of Colorado School of Medicine, Aurora, Colorado 80045, USA
