pmid	forename_lastname	affiliation
24748432	Tong_Zhang	Department of Cardiology, The Fourth Affiliated Hospital of Harbin Medical University, No. 37 Yiyuan Street of Nangang District, Harbin, 150001, Heilongjiang Province, China.
24748432	Li-Li_Zhao	
24748432	Zhuo-Ran_Zhang	
24748432	Pei-De_Fu	
24748432	Zhen-Dong_Su	
24748432	Li-Chun_Qi	
24748432	Xue-Qi_Li	
24748432	Yu-Mei_Dong	
22115179	Antonio_Mora	Department for Molecular Biosciences, University of Oslo, P,O, Box 1041 Blindern, 0316 Oslo, Norway.
22115179	Ian_M_Donaldson	
